Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.551
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.6228543814799780E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.864960E-03,0.716636E-01
0.488281E-02,0.172992E-02,0.844391E-01
0.732422E-02,0.259488E-02,0.111639
0.976562E-02,0.345984E-02,0.646043E-01
0.122070E-01,0.432480E-02,-0.259879E-01
0.146484E-01,0.518976E-02,0.216263E-01
0.170898E-01,0.605472E-02,0.277055
0.195312E-01,0.691968E-02,-0.274575E-01
0.219727E-01,0.778464E-02,0.391125E-01
0.244141E-01,0.864960E-02,0.425448E-02
0.268555E-01,0.951455E-02,-0.113781E-01
0.292969E-01,0.103795E-01,-0.294686E-01
0.317383E-01,0.112445E-01,0.197364E-01
0.341797E-01,0.121094E-01,0.107268
0.366211E-01,0.129744E-01,0.176609
0.390625E-01,0.138394E-01,0.194288
0.415039E-01,0.147043E-01,0.186662
0.439453E-01,0.155693E-01,0.106393
0.463867E-01,0.164342E-01,0.216657
0.488281E-01,0.172992E-01,-0.614517E-01
0.512695E-01,0.181641E-01,0.454365E-01
0.537109E-01,0.190291E-01,0.267307
0.561523E-01,0.198941E-01,0.782031E-01
0.585938E-01,0.207590E-01,0.156357
0.610352E-01,0.216240E-01,0.124027
0.634766E-01,0.224889E-01,0.208270E-01
0.659180E-01,0.233539E-01,-0.141643E-01
0.683594E-01,0.242189E-01,0.806692E-03
0.708008E-01,0.250838E-01,-0.144614
0.732422E-01,0.259488E-01,0.770670E-01
0.756836E-01,0.268137E-01,0.839185E-01
0.781250E-01,0.276787E-01,0.122437
0.805664E-01,0.285437E-01,0.247924
0.830078E-01,0.294086E-01,-0.683537E-01
0.854492E-01,0.302736E-01,-0.983183E-01
0.878906E-01,0.311385E-01,0.150695
0.903320E-01,0.320035E-01,-0.691223E-02
0.927734E-01,0.328685E-01,-0.332396E-02
0.952148E-01,0.337334E-01,0.278640
0.976562E-01,0.345984E-01,0.121450
0.100098,0.354633E-01,0.153684
0.102539,0.363283E-01,0.354748E-01
0.104980,0.371933E-01,0.366862E-01
0.107422,0.380582E-01,-0.108222E-02
0.109863,0.389232E-01,-0.354851E-02
0.112305,0.397881E-01,0.270693
0.114746,0.406531E-01,0.104462
0.117188,0.415181E-01,-0.281196E-01
0.119629,0.423830E-01,0.597569
0.122070,0.432480E-01,0.559281
0.124512,0.441129E-01,-0.132141E-01
0.126953,0.449779E-01,0.725744E-01
0.129395,0.458429E-01,0.331229
0.131836,0.467078E-01,0.933521E-01
0.134277,0.475728E-01,0.186320
0.136719,0.484377E-01,0.233749
0.139160,0.493027E-01,0.105522
0.141602,0.501677E-01,0.452622E-01
0.144043,0.510326E-01,0.223948
0.146484,0.518976E-01,0.834455
0.148926,0.527625E-01,0.642527E-01
0.151367,0.536275E-01,0.121872
0.153809,0.544924E-01,0.734410E-01
0.156250,0.553574E-01,0.496225
0.158691,0.562224E-01,0.969135E-01
0.161133,0.570873E-01,0.405686
0.163574,0.579523E-01,0.253275
0.166016,0.588172E-01,0.730818
0.168457,0.596822E-01,0.274295
0.170898,0.605472E-01,0.155095E-01
0.173340,0.614121E-01,0.108630
0.175781,0.622771E-01,0.265318
0.178223,0.631420E-01,0.591376E-01
0.180664,0.640070E-01,-0.380917E-01
0.183105,0.648720E-01,0.481543
0.185547,0.657369E-01,0.192139
0.187988,0.666019E-01,-0.497236E-01
0.190430,0.674668E-01,0.430525
0.192871,0.683318E-01,0.258843
0.195312,0.691968E-01,0.289536
0.197754,0.700617E-01,0.154891E-01
0.200195,0.709267E-01,0.215801
0.202637,0.717916E-01,0.507937E-01
0.205078,0.726566E-01,0.773849E-01
0.207520,0.735216E-01,0.101619E-01
0.209961,0.743865E-01,0.363412
0.212402,0.752515E-01,0.192158
0.214844,0.761164E-01,0.665094E-01
0.217285,0.769814E-01,0.364544
0.219727,0.778464E-01,0.542157
0.222168,0.787113E-01,0.209113E-01
0.224609,0.795763E-01,0.219775
0.227051,0.804412E-01,0.708046
0.229492,0.813062E-01,0.159924
0.231934,0.821712E-01,0.216208
0.234375,0.830361E-01,-0.342953E-02
0.236816,0.839011E-01,0.145701
0.239258,0.847660E-01,0.595512
0.241699,0.856310E-01,0.127163
0.244141,0.864960E-01,-0.121300
0.246582,0.873609E-01,0.464811
0.249023,0.882259E-01,-0.204384E-01
0.251465,0.890908E-01,0.417051
0.253906,0.899558E-01,0.660245E-01
0.256348,0.908207E-01,-0.102859E-01
0.258789,0.916857E-01,0.518894
0.261230,0.925507E-01,0.231399
0.263672,0.934156E-01,0.664152
