Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.140
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.3033366084153285E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.934096E-03,0.170889E-02
0.488281E-02,0.186819E-02,-0.421314E-02
0.732422E-02,0.280229E-02,-0.326178E-01
0.976562E-02,0.373638E-02,-0.349853E-02
0.122070E-01,0.467048E-02,-0.531999E-02
0.146484E-01,0.560458E-02,0.116268
0.170898E-01,0.653867E-02,0.735109E-01
0.195312E-01,0.747277E-02,0.208975E-01
0.219727E-01,0.840687E-02,0.422016
0.244141E-01,0.934096E-02,0.255756
0.268555E-01,0.102751E-01,-0.756900E-02
0.292969E-01,0.112092E-01,0.242661
0.317383E-01,0.121433E-01,0.384827E-02
0.341797E-01,0.130773E-01,0.215980
0.366211E-01,0.140114E-01,0.261817
0.390625E-01,0.149455E-01,0.317820
0.415039E-01,0.158796E-01,0.315769
0.439453E-01,0.168137E-01,0.334666
0.463867E-01,0.177478E-01,0.126229
0.488281E-01,0.186819E-01,-0.943651E-03
0.512695E-01,0.196160E-01,0.234552
0.537109E-01,0.205501E-01,0.511808
0.561523E-01,0.214842E-01,0.139633
0.585938E-01,0.224183E-01,0.740823
0.610352E-01,0.233524E-01,0.814199E-01
0.634766E-01,0.242865E-01,0.278972
0.659180E-01,0.252206E-01,-0.226393E-02
0.683594E-01,0.261547E-01,0.160395E-01
0.708008E-01,0.270888E-01,0.639311E-01
0.732422E-01,0.280229E-01,0.285026
0.756836E-01,0.289570E-01,-0.203920
0.781250E-01,0.298911E-01,0.247377
0.805664E-01,0.308252E-01,0.631735E-01
0.830078E-01,0.317593E-01,0.809383E-01
0.854492E-01,0.326934E-01,0.281158
0.878906E-01,0.336275E-01,0.596959E-01
0.903320E-01,0.345616E-01,0.746051E-01
0.927734E-01,0.354957E-01,0.582708E-01
0.952148E-01,0.364298E-01,0.900398E-01
0.976562E-01,0.373638E-01,-0.484639E-01
0.100098,0.382979E-01,0.306252
0.102539,0.392320E-01,-0.152605
0.104980,0.401661E-01,0.273296
0.107422,0.411002E-01,0.396959E-01
0.109863,0.420343E-01,-0.657598E-02
0.112305,0.429684E-01,0.207641
0.114746,0.439025E-01,0.124058
0.117188,0.448366E-01,-0.294510
0.119629,0.457707E-01,0.476158
0.122070,0.467048E-01,0.323506
0.124512,0.476389E-01,0.500325
0.126953,0.485730E-01,0.227764
0.129395,0.495071E-01,0.133532
0.131836,0.504412E-01,1.07037
0.134277,0.513753E-01,0.159562
0.136719,0.523094E-01,-0.409197E-01
0.139160,0.532435E-01,-0.220082
0.141602,0.541776E-01,0.512458E-01
0.144043,0.551117E-01,0.341148
0.146484,0.560458E-01,-0.124013
0.148926,0.569799E-01,0.312965
0.151367,0.579140E-01,0.278177
0.153809,0.588481E-01,0.299778
0.156250,0.597822E-01,0.321983
0.158691,0.607163E-01,-0.666781E-01
0.161133,0.616503E-01,-0.357889E-01
0.163574,0.625844E-01,0.125958
0.166016,0.635185E-01,0.101105
0.168457,0.644526E-01,0.245733
0.170898,0.653867E-01,0.344129
0.173340,0.663208E-01,0.346364
0.175781,0.672549E-01,-0.868477E-02
0.178223,0.681890E-01,0.489241
0.180664,0.691231E-01,-0.186357E-01
0.183105,0.700572E-01,0.333195
0.185547,0.709913E-01,0.231838E-01
0.187988,0.719254E-01,0.282851
0.190430,0.728595E-01,-0.303092E-01
0.192871,0.737936E-01,-0.771493E-01
0.195312,0.747277E-01,0.444731
0.197754,0.756618E-01,0.103827
0.200195,0.765959E-01,0.106692
0.202637,0.775300E-01,0.184094
0.205078,0.784641E-01,-0.898803E-01
0.207520,0.793982E-01,0.300333
0.209961,0.803323E-01,-0.123058
0.212402,0.812664E-01,0.155455
0.214844,0.822005E-01,-0.168190
0.217285,0.831346E-01,0.253186
0.219727,0.840687E-01,0.392591
0.222168,0.850028E-01,0.599961E-01
0.224609,0.859368E-01,1.27183
0.227051,0.868709E-01,0.250169
0.229492,0.878050E-01,0.368986
0.231934,0.887391E-01,-0.951175E-01
0.234375,0.896732E-01,-0.111675
0.236816,0.906073E-01,0.120718E-01
0.239258,0.915414E-01,0.132240E-02
0.241699,0.924755E-01,0.890841E-01
0.244141,0.934096E-01,0.744152
0.246582,0.943437E-01,0.609237
0.249023,0.952778E-01,0.328958
0.251465,0.962119E-01,0.211209
0.253906,0.971460E-01,0.149620
0.256348,0.980801E-01,0.794903E-01
0.258789,0.990142E-01,0.677147E-01
0.261230,0.999483E-01,0.107890
0.263672,0.100882,0.393269
0.266113,0.101816,0.110822
0.268555,0.102751,0.545208
0.270996,0.103685,0.259599
0.273438,0.104619,0.732169E-01
0.275879,0.105553,0.631125
0.278320,0.106487,0.136089
0.280762,0.107421,0.121024
0.283203,0.108355,0.151641
0.285645,0.109289,0.125228E-02
0.288086,0.110223,0.250020
0.290527,0.111157,0.622883
0.292969,0.112092,0.294743
0.295410,0.113026,0.124286
0.297852,0.113960,0.260950
0.300293,0.114894,0.511153E-01
0.302734,0.115828,0.356243
0.305176,0.116762,0.307822
0.307617,0.117696,0.456927
0.310059,0.118630,0.771911E-01
0.312500,0.119564,0.212812
0.314941,0.120498,0.534468
0.317383,0.121433,-0.728156E-01
0.319824,0.122367,0.121769
0.322266,0.123301,0.995633E-01
0.324707,0.124235,0.140494E-01
0.327148,0.125169,0.912454E-01
0.329590,0.126103,0.162332
0.332031,0.127037,0.512476
0.334473,0.127971,0.361999
0.336914,0.128905,0.685160E-01
0.339355,0.129839,0.325195
0.341797,0.130773,0.414280
0.344238,0.131708,0.789560E-01
0.346680,0.132642,0.653910
0.349121,0.133576,-0.620887E-02
0.351562,0.134510,-0.280088E-02
0.354004,0.135444,0.177744
0.356445,0.136378,0.248631
0.358887,0.137312,1.40286
0.361328,0.138246,0.641754
0.363770,0.139180,-0.856695E-02
0.366211,0.140114,0.875588E-01
0.368652,0.141049,0.353556
0.371094,0.141983,0.175201
0.373535,0.142917,0.724107E-01
0.375977,0.143851,0.114957
0.378418,0.144785,0.552552
0.380859,0.145719,0.470833
0.383301,0.146653,-0.810217E-02
0.385742,0.147587,0.211274
0.388184,0.148521,0.570857
0.390625,0.149455,0.153874
0.393066,0.150389,0.397553
0.395508,0.151324,0.467831
0.397949,0.152258,-0.469544E-01
0.400391,0.153192,0.107204
0.402832,0.154126,0.243079
0.405273,0.155060,0.156273
0.407715,0.155994,-0.540399E-01
0.410156,0.156928,0.339924
0.412598,0.157862,-0.102088
0.415039,0.158796,0.245689E-01
0.417480,0.159730,0.528605
0.419922,0.160665,0.960274E-01
0.422363,0.161599,0.128349
0.424805,0.162533,-0.877589E-01
0.427246,0.163467,-0.350545
0.429688,0.164401,0.449693
0.432129,0.165335,0.136937
0.434570,0.166269,0.235686
0.437012,0.167203,-0.207260
0.439453,0.168137,0.151921
0.441895,0.169071,0.341323
0.444336,0.170006,-0.162355
0.446777,0.170940,0.419307
0.449219,0.171874,0.991616E-01
0.451660,0.172808,0.314291
0.454102,0.173742,0.680723
0.456543,0.174676,-0.203607
0.458984,0.175610,-0.268796E-01
0.461426,0.176544,0.275624
0.463867,0.177478,0.558313E-01
0.466309,0.178412,0.223457
0.468750,0.179346,0.685677E-01
0.471191,0.180281,0.101959E-01
0.473633,0.181215,-0.871074E-01
0.476074,0.182149,0.111288
0.478516,0.183083,0.482446E-01
0.480957,0.184017,0.451308
0.483398,0.184951,0.205306
0.485840,0.185885,0.194268
0.488281,0.186819,0.753349
0.490723,0.187753,-0.248440
0.493164,0.188687,0.118215
0.495605,0.189622,0.394863E-01
0.498047,0.190556,-0.442868E-01
0.500488,0.191490,0.672643E-02
0.502930,0.192424,0.324083E-01
0.505371,0.193358,0.305527E-01
0.507812,0.194292,-0.175272
0.510254,0.195226,0.314703
0.512695,0.196160,-0.560592
0.515137,0.197094,0.243420
0.517578,0.198028,0.224287
0.520020,0.198962,0.124381E-01
0.522461,0.199897,0.986586
0.524902,0.200831,0.462190E-01
0.527344,0.201765,0.373991
0.529785,0.202699,0.401493E-01
0.532227,0.203633,-0.456156E-01
0.534668,0.204567,0.469434
0.537109,0.205501,0.191260
0.539551,0.206435,-0.868980E-01
0.541992,0.207369,0.727153E-01
0.544434,0.208303,0.432656
0.546875,0.209238,-0.143865
0.549316,0.210172,0.279503
0.551758,0.211106,0.641320E-01
0.554199,0.212040,-0.236779
0.556641,0.212974,-0.705272E-01
0.559082,0.213908,-0.248523
0.561523,0.214842,0.104140
0.563965,0.215776,-0.268853
0.566406,0.216710,1.03581
0.568848,0.217644,-0.275829
0.571289,0.218579,-0.131438
0.573730,0.219513,-0.519270E-02
0.576172,0.220447,0.416483
0.578613,0.221381,0.596973
0.581055,0.222315,0.160005
0.583496,0.223249,0.353473E-01
0.585938,0.224183,0.632174
0.588379,0.225117,0.257206
0.590820,0.226051,0.313928
0.593262,0.226985,0.950009E-02
0.595703,0.227919,-0.362966E-01
0.598145,0.228854,1.04342
0.600586,0.229788,0.744773
0.603027,0.230722,-0.892767E-01
0.605469,0.231656,0.310443
0.607910,0.232590,-0.197073
0.610352,0.233524,-0.930220E-01
0.612793,0.234458,-0.302821
0.615234,0.235392,0.874189E-01
0.617676,0.236326,0.337646
0.620117,0.237260,0.482459
0.622559,0.238195,0.345887
0.625000,0.239129,-0.141947
0.627441,0.240063,0.277619
0.629883,0.240997,0.350453
0.632324,0.241931,0.234504
0.634766,0.242865,0.288468
0.637207,0.243799,0.615321E-01
0.639648,0.244733,-0.100088
0.642090,0.245667,0.301456
0.644531,0.246601,-0.462009E-01
0.646973,0.247535,0.973054
0.649414,0.248470,0.723555E-01
0.651855,0.249404,0.475552E-02
0.654297,0.250338,0.286637
0.656738,0.251272,0.237264
0.659180,0.252206,0.395272
0.661621,0.253140,-0.140634
0.664062,0.254074,0.759707E-02
0.666504,0.255008,0.144727
0.668945,0.255942,0.172403
0.671387,0.256876,0.233464
0.673828,0.257811,0.167432
0.676270,0.258745,0.275321
0.678711,0.259679,0.215961
0.681152,0.260613,-0.710348E-01
0.683594,0.261547,0.573239
0.686035,0.262481,0.855958
0.688477,0.263415,0.102825
0.690918,0.264349,0.112534
0.693359,0.265283,-0.101670
0.695801,0.266217,0.274517E-01
0.698242,0.267152,-0.126427E-01
0.700684,0.268086,-0.140236
0.703125,0.269020,0.322272
0.705566,0.269954,-0.152360
0.708008,0.270888,0.599154
0.710449,0.271822,0.536179
0.712891,0.272756,1.42037
0.715332,0.273690,0.133362
0.717773,0.274624,-0.921388E-01
0.720215,0.275558,0.340017E-01
0.722656,0.276492,-0.891946E-01
0.725098,0.277427,0.948802E-01
0.727539,0.278361,0.591580E-01
0.729980,0.279295,0.401224
0.732422,0.280229,0.288161
0.734863,0.281163,0.245401
0.737305,0.282097,0.946432E-01
0.739746,0.283031,0.244519E-01
0.742188,0.283965,-0.900189E-01
0.744629,0.284899,-0.175843E-01
0.747070,0.285833,-0.200017
0.749512,0.286768,0.908135E-01
0.751953,0.287702,0.204369
0.754395,0.288636,0.185831
0.756836,0.289570,-0.441411E-01
0.759277,0.290504,-0.567556E-02
0.761719,0.291438,0.354291E-01
0.764160,0.292372,0.190790
0.766602,0.293306,0.125428E-01
0.769043,0.294240,0.237894
0.771484,0.295174,0.177487
0.773926,0.296108,-0.683031E-01
0.776367,0.297043,0.131574
0.778809,0.297977,0.346062
0.781250,0.298911,-0.105078E-02
0.783691,0.299845,0.140924E-01
0.786133,0.300779,0.373604
0.788574,0.301713,-0.229457
0.791016,0.302647,0.770162E-01
0.793457,0.303581,-0.110980
0.795898,0.304515,0.463605E-01
0.798340,0.305449,0.100233
0.800781,0.306384,0.428772E-01
0.803223,0.307318,-0.746720E-01
0.805664,0.308252,-0.695814E-01
0.808105,0.309186,-0.236788
0.810547,0.310120,0.287253E-01
0.812988,0.311054,-0.153158
0.815430,0.311988,0.192932
0.817871,0.312922,0.845377E-01
0.820312,0.313856,0.454652
0.822754,0.314790,0.207315
0.825195,0.315725,0.199488
0.827637,0.316659,0.620180E-01
0.830078,0.317593,0.155827
0.832520,0.318527,0.109633
0.834961,0.319461,0.181370E-01
0.837402,0.320395,0.327926
0.839844,0.321329,-0.581548E-01
0.842285,0.322263,-0.505479E-01
0.844727,0.323197,-0.119768
0.847168,0.324131,0.131834
0.849609,0.325065,0.255902
0.852051,0.326000,-0.511111E-01
0.854492,0.326934,-0.960816E-01
0.856934,0.327868,-0.174612
0.859375,0.328802,0.298244
0.861816,0.329736,0.873349
0.864258,0.330670,0.680754E-02
0.866699,0.331604,-0.186894E-01
0.869141,0.332538,0.281978
0.871582,0.333472,-0.416474E-01
0.874023,0.334406,0.241867
0.876465,0.335341,0.510642
0.878906,0.336275,-0.443601E-01
0.881348,0.337209,-0.708535E-01
0.883789,0.338143,0.246038
0.886230,0.339077,0.177715
0.888672,0.340011,0.938907E-01
0.891113,0.340945,-0.177689
0.893555,0.341879,0.295734
0.895996,0.342813,0.338752
0.898438,0.343747,0.303345
0.900879,0.344681,1.24142
0.903320,0.345616,0.547199
0.905762,0.346550,0.128776
0.908203,0.347484,0.957152
0.910645,0.348418,0.450517
0.913086,0.349352,0.187264
0.915527,0.350286,-0.550077E-02
0.917969,0.351220,0.105798
0.920410,0.352154,0.205812
0.922852,0.353088,0.769866E-01
0.925293,0.354022,0.694079E-01
0.927734,0.354957,0.589978
0.930176,0.355891,-0.574525E-01
0.932617,0.356825,-0.130557
0.935059,0.357759,0.497746
0.937500,0.358693,1.12409
0.939941,0.359627,-0.223926
0.942383,0.360561,0.495439E-01
0.944824,0.361495,-0.573836E-01
0.947266,0.362429,-0.416905E-01
0.949707,0.363363,0.117485
0.952148,0.364298,1.41982
0.954590,0.365232,-0.178912
0.957031,0.366166,0.143419
0.959473,0.367100,0.255039
0.961914,0.368034,0.245083
