Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.182
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.0684980403175464E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.926524E-03,0.947676E-02
0.488281E-02,0.185305E-02,0.816404E-01
0.732422E-02,0.277957E-02,0.167180E-01
0.976562E-02,0.370609E-02,0.724821E-02
0.122070E-01,0.463262E-02,-0.501271E-01
0.146484E-01,0.555914E-02,0.282442
0.170898E-01,0.648567E-02,0.152863
0.195312E-01,0.741219E-02,-0.249738
0.219727E-01,0.833871E-02,0.120150
0.244141E-01,0.926524E-02,-0.771564E-01
0.268555E-01,0.101918E-01,-0.245622E-01
0.292969E-01,0.111183E-01,-0.338374E-01
0.317383E-01,0.120448E-01,-0.323862
0.341797E-01,0.129713E-01,0.280926
0.366211E-01,0.138979E-01,-0.574534
0.390625E-01,0.148244E-01,0.911414
0.415039E-01,0.157509E-01,0.198291
0.439453E-01,0.166774E-01,-0.643176E-01
0.463867E-01,0.176039E-01,0.610715E-02
0.488281E-01,0.185305E-01,0.228132E-01
0.512695E-01,0.194570E-01,0.550183E-01
0.537109E-01,0.203835E-01,0.102307
0.561523E-01,0.213100E-01,0.171475
0.585938E-01,0.222366E-01,0.556128
0.610352E-01,0.231631E-01,0.275550
0.634766E-01,0.240896E-01,-0.281539
0.659180E-01,0.250161E-01,0.208554
0.683594E-01,0.259427E-01,0.128313
0.708008E-01,0.268692E-01,0.327684E-01
0.732422E-01,0.277957E-01,-0.159013E-01
0.756836E-01,0.287222E-01,0.348464E-01
0.781250E-01,0.296488E-01,0.975653
0.805664E-01,0.305753E-01,-0.397512
0.830078E-01,0.315018E-01,0.366518E-01
0.854492E-01,0.324283E-01,1.11571
0.878906E-01,0.333549E-01,-0.624246E-01
0.903320E-01,0.342814E-01,0.554084E-01
0.927734E-01,0.352079E-01,0.407678
0.952148E-01,0.361344E-01,-0.109413E-01
0.976562E-01,0.370609E-01,0.126771
0.100098,0.379875E-01,0.674620
0.102539,0.389140E-01,-0.705587E-01
0.104980,0.398405E-01,0.153272E-01
0.107422,0.407670E-01,0.178868
0.109863,0.416936E-01,0.576971
0.112305,0.426201E-01,0.359628E-01
0.114746,0.435466E-01,0.433764E-01
0.117188,0.444731E-01,-0.224483E-01
0.119629,0.453997E-01,0.347468E-01
0.122070,0.463262E-01,0.629158
0.124512,0.472527E-01,-0.420272
0.126953,0.481792E-01,-0.656784E-01
0.129395,0.491058E-01,0.145194
0.131836,0.500323E-01,0.162996
0.134277,0.509588E-01,0.110463
0.136719,0.518853E-01,0.202695
0.139160,0.528118E-01,-0.107661
0.141602,0.537384E-01,0.333362
0.144043,0.546649E-01,0.367867
0.146484,0.555914E-01,0.197218
0.148926,0.565179E-01,-0.510947E-01
0.151367,0.574445E-01,0.414665
0.153809,0.583710E-01,0.170090
0.156250,0.592975E-01,0.569136
0.158691,0.602240E-01,0.140027
0.161133,0.611506E-01,0.435055E-01
0.163574,0.620771E-01,0.478445
0.166016,0.630036E-01,0.484035E-03
0.168457,0.639301E-01,0.772273
0.170898,0.648567E-01,-0.626522E-01
0.173340,0.657832E-01,-0.404486E-01
0.175781,0.667097E-01,-0.289342E-01
0.178223,0.676362E-01,-0.821513E-01
0.180664,0.685627E-01,-0.116759
0.183105,0.694893E-01,0.118392
0.185547,0.704158E-01,0.461734
0.187988,0.713423E-01,0.499730
0.190430,0.722688E-01,-0.315318E-01
