Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  4.805
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.3507672369001927E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.999102E-03,-0.584731E-01
0.488281E-02,0.199820E-02,0.314875E-01
0.732422E-02,0.299730E-02,0.853931E-01
0.976562E-02,0.399641E-02,0.252329
0.122070E-01,0.499551E-02,0.197802
0.146484E-01,0.599461E-02,0.253066
0.170898E-01,0.699371E-02,-0.104715E-01
0.195312E-01,0.799281E-02,0.152985
0.219727E-01,0.899191E-02,-0.665377E-01
0.244141E-01,0.999102E-02,0.866076E-02
0.268555E-01,0.109901E-01,-0.172299E-01
0.292969E-01,0.119892E-01,0.132786
0.317383E-01,0.129883E-01,0.732837E-01
0.341797E-01,0.139874E-01,0.372843E-01
0.366211E-01,0.149865E-01,0.342766E-01
0.390625E-01,0.159856E-01,0.244801
0.415039E-01,0.169847E-01,0.282142
0.439453E-01,0.179838E-01,0.117210
0.463867E-01,0.189829E-01,0.614626E-01
0.488281E-01,0.199820E-01,0.124595
0.512695E-01,0.209811E-01,0.393994E-01
0.537109E-01,0.219802E-01,0.175993
0.561523E-01,0.229793E-01,0.302894
0.585938E-01,0.239784E-01,0.325588
0.610352E-01,0.249775E-01,0.220306
0.634766E-01,0.259766E-01,-0.366869E-01
0.659180E-01,0.269757E-01,0.712354E-01
0.683594E-01,0.279748E-01,0.271437E-01
0.708008E-01,0.289739E-01,0.889537E-01
0.732422E-01,0.299730E-01,0.428003
0.756836E-01,0.309721E-01,0.298305E-01
0.781250E-01,0.319712E-01,1.39103
0.805664E-01,0.329703E-01,0.205779
0.830078E-01,0.339695E-01,0.210099E-03
0.854492E-01,0.349686E-01,0.630524E-01
0.878906E-01,0.359677E-01,0.133891E-01
0.903320E-01,0.369668E-01,0.993518E-02
0.927734E-01,0.379659E-01,0.534183
0.952148E-01,0.389650E-01,0.234319
0.976562E-01,0.399641E-01,0.366706
0.100098,0.409632E-01,0.808530E-01
0.102539,0.419623E-01,-0.435995E-01
0.104980,0.429614E-01,0.131622E-01
0.107422,0.439605E-01,0.822133E-01
0.109863,0.449596E-01,0.863780E-01
0.112305,0.459587E-01,0.139995
0.114746,0.469578E-01,-0.189875
0.117188,0.479569E-01,0.789908E-01
0.119629,0.489560E-01,0.599775
0.122070,0.499551E-01,0.660713E-02
0.124512,0.509542E-01,0.239889
0.126953,0.519533E-01,0.390050
0.129395,0.529524E-01,0.495873
0.131836,0.539515E-01,0.505438
0.134277,0.549506E-01,-0.959276E-01
0.136719,0.559497E-01,-0.427118E-02
0.139160,0.569488E-01,1.07606
0.141602,0.579479E-01,0.215745
0.144043,0.589470E-01,0.570866
0.146484,0.599461E-01,0.173445
0.148926,0.609452E-01,-0.417234E-01
0.151367,0.619443E-01,0.273747
0.153809,0.629434E-01,1.23679
0.156250,0.639425E-01,-0.617820E-02
0.158691,0.649416E-01,0.242276
0.161133,0.659407E-01,0.732679E-01
0.163574,0.669398E-01,0.263636
0.166016,0.679389E-01,0.151412
0.168457,0.689380E-01,0.737579E-01
0.170898,0.699371E-01,-0.849188E-01
0.173340,0.709362E-01,-0.124580
0.175781,0.719353E-01,0.246185E-01
0.178223,0.729344E-01,-0.118821
0.180664,0.739335E-01,0.166224
0.183105,0.749326E-01,-0.786731E-01
0.185547,0.759317E-01,0.180284E-01
0.187988,0.769308E-01,0.541527
0.190430,0.779299E-01,0.348302E-01
0.192871,0.789290E-01,0.238410
0.195312,0.799281E-01,-0.642046E-02
0.197754,0.809272E-01,-0.205416E-01
0.200195,0.819263E-01,0.146712
0.202637,0.829254E-01,0.746246
0.205078,0.839245E-01,0.677001E-01
0.207520,0.849236E-01,0.256931
0.209961,0.859227E-01,0.193310
0.212402,0.869218E-01,0.240685E-01
0.214844,0.879209E-01,0.288671
0.217285,0.889200E-01,0.740219E-01
0.219727,0.899191E-01,0.861003E-01
0.222168,0.909182E-01,0.104961E-02
0.224609,0.919173E-01,0.126845
0.227051,0.929164E-01,0.108861
0.229492,0.939155E-01,0.149381
0.231934,0.949146E-01,-0.310522E-01
0.234375,0.959137E-01,0.590163
0.236816,0.969128E-01,0.648346
0.239258,0.979119E-01,0.528144
0.241699,0.989110E-01,0.943750E-01
0.244141,0.999102E-01,0.619690E-02
0.246582,0.100909,0.208382
0.249023,0.101908,-0.550464E-01
0.251465,0.102907,0.208906E-02
0.253906,0.103907,0.631513
0.256348,0.104906,0.346807E-01
0.258789,0.105905,0.312961E-01
0.261230,0.106904,0.188900
0.263672,0.107903,-0.208500E-01
0.266113,0.108902,0.369836
0.268555,0.109901,0.178139
0.270996,0.110900,0.196298
0.273438,0.111899,-0.965040E-01
0.275879,0.112898,0.237983
0.278320,0.113898,0.245996
0.280762,0.114897,-0.239924E-02
0.283203,0.115896,0.268101
0.285645,0.116895,0.685118E-01
0.288086,0.117894,0.628758E-01
0.290527,0.118893,0.228459
0.292969,0.119892,-0.432780E-01
0.295410,0.120891,0.370831E-01
0.297852,0.121890,-0.141988E-01
0.300293,0.122889,-0.233726E-01
0.302734,0.123889,0.327199E-01
0.305176,0.124888,-0.112259E-01
0.307617,0.125887,0.526535
0.310059,0.126886,0.352579
0.312500,0.127885,1.07071
0.314941,0.128884,0.974733E-01
0.317383,0.129883,0.147986
0.319824,0.130882,0.280035
0.322266,0.131881,0.473682
0.324707,0.132881,0.178355E-01
0.327148,0.133880,0.307602E-01
0.329590,0.134879,0.214915
0.332031,0.135878,0.384023E-01
0.334473,0.136877,0.186618E-01
0.336914,0.137876,0.267989E-01
0.339355,0.138875,0.321473
0.341797,0.139874,0.321967
0.344238,0.140873,0.114989
0.346680,0.141872,0.304385
0.349121,0.142872,0.419856
0.351562,0.143871,0.285605
0.354004,0.144870,0.928509E-01
0.356445,0.145869,0.309411
0.358887,0.146868,0.522787
0.361328,0.147867,0.234796
0.363770,0.148866,0.227474E-01
0.366211,0.149865,0.600526
0.368652,0.150864,0.306438
0.371094,0.151863,0.167046
0.373535,0.152863,-0.134973
0.375977,0.153862,0.532348E-01
0.378418,0.154861,0.285628
0.380859,0.155860,-0.131300E-01
0.383301,0.156859,0.547136E-01
0.385742,0.157858,0.448882
