Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.533
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.1480180399627284E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.867684E-03,0.413181E-02
0.488281E-02,0.173537E-02,0.617087E-01
0.732422E-02,0.260305E-02,-0.172869E-02
0.976562E-02,0.347074E-02,0.942484E-02
0.122070E-01,0.433842E-02,0.119093
0.146484E-01,0.520611E-02,0.256535E-01
0.170898E-01,0.607379E-02,0.103834
0.195312E-01,0.694148E-02,0.312502E-01
0.219727E-01,0.780916E-02,-0.244482E-01
0.244141E-01,0.867684E-02,-0.145213
0.268555E-01,0.954453E-02,-0.233860
0.292969E-01,0.104122E-01,-0.158946E-01
0.317383E-01,0.112799E-01,0.157112
0.341797E-01,0.121476E-01,-0.349537E-02
0.366211E-01,0.130153E-01,0.498009E-01
0.390625E-01,0.138830E-01,0.345765E-02
0.415039E-01,0.147506E-01,0.547458E-01
0.439453E-01,0.156183E-01,0.192222
0.463867E-01,0.164860E-01,-0.488372E-02
0.488281E-01,0.173537E-01,0.102153
0.512695E-01,0.182214E-01,0.274775
0.537109E-01,0.190891E-01,0.592546
0.561523E-01,0.199567E-01,0.503773E-01
0.585938E-01,0.208244E-01,0.341645
0.610352E-01,0.216921E-01,0.149578
0.634766E-01,0.225598E-01,0.431289
0.659180E-01,0.234275E-01,0.368219E-01
0.683594E-01,0.242952E-01,0.224965
0.708008E-01,0.251628E-01,0.184659E-01
0.732422E-01,0.260305E-01,0.385489
0.756836E-01,0.268982E-01,0.433970E-01
0.781250E-01,0.277659E-01,0.138433
0.805664E-01,0.286336E-01,0.633911
0.830078E-01,0.295013E-01,-0.472920E-01
0.854492E-01,0.303690E-01,0.178394
0.878906E-01,0.312366E-01,0.564137E-01
0.903320E-01,0.321043E-01,0.486020E-02
0.927734E-01,0.329720E-01,-0.550340E-01
0.952148E-01,0.338397E-01,0.184897
0.976562E-01,0.347074E-01,0.591617
0.100098,0.355751E-01,0.515472
0.102539,0.364427E-01,0.478708
0.104980,0.373104E-01,0.330160E-01
0.107422,0.381781E-01,0.301050
0.109863,0.390458E-01,0.130227E-02
0.112305,0.399135E-01,-0.103022E-01
0.114746,0.407812E-01,0.178614
0.117188,0.416489E-01,0.387929
0.119629,0.425165E-01,0.187636
0.122070,0.433842E-01,0.438780E-01
0.124512,0.442519E-01,0.181343E-02
0.126953,0.451196E-01,1.06995
0.129395,0.459873E-01,0.299606E-01
0.131836,0.468550E-01,-0.297901E-01
0.134277,0.477226E-01,0.107364
0.136719,0.485903E-01,-0.136358E-01
0.139160,0.494580E-01,0.501623E-01
0.141602,0.503257E-01,0.141959
0.144043,0.511934E-01,0.295993
0.146484,0.520611E-01,0.339985
0.148926,0.529287E-01,0.169578
0.151367,0.537964E-01,0.179684
0.153809,0.546641E-01,0.100018
0.156250,0.555318E-01,0.338691
0.158691,0.563995E-01,0.440500
0.161133,0.572672E-01,0.285184
0.163574,0.581349E-01,0.946857E-01
0.166016,0.590025E-01,0.616890E-01
0.168457,0.598702E-01,0.305803
0.170898,0.607379E-01,0.503957
0.173340,0.616056E-01,0.286922
0.175781,0.624733E-01,0.191625E-01
0.178223,0.633410E-01,0.454849E-01
0.180664,0.642086E-01,0.806327
0.183105,0.650763E-01,-0.406790E-01
0.185547,0.659440E-01,-0.193858E-01
0.187988,0.668117E-01,0.112918
0.190430,0.676794E-01,0.126687
0.192871,0.685471E-01,0.215166
0.195312,0.694148E-01,0.704156
0.197754,0.702824E-01,-0.663940E-01
0.200195,0.711501E-01,0.127910
0.202637,0.720178E-01,0.633480E-01
0.205078,0.728855E-01,0.182638
0.207520,0.737532E-01,0.261765
0.209961,0.746209E-01,0.243074
0.212402,0.754885E-01,0.806970E-01
0.214844,0.763562E-01,0.141244
0.217285,0.772239E-01,0.681520
0.219727,0.780916E-01,-0.558373E-01
0.222168,0.789593E-01,-0.409802E-01
0.224609,0.798270E-01,1.45900
0.227051,0.806946E-01,0.156655
0.229492,0.815623E-01,0.988067
0.231934,0.824300E-01,0.283601
0.234375,0.832977E-01,0.315785
0.236816,0.841654E-01,0.276450E-01
0.239258,0.850331E-01,-0.125371
0.241699,0.859008E-01,0.852995
0.244141,0.867684E-01,1.18463
0.246582,0.876361E-01,0.120264
0.249023,0.885038E-01,0.923039E-01
0.251465,0.893715E-01,0.180795
0.253906,0.902392E-01,-0.106309
0.256348,0.911069E-01,-0.126339E-01
0.258789,0.919745E-01,-0.662843E-01
0.261230,0.928422E-01,0.414792E-01
0.263672,0.937099E-01,0.175088
0.266113,0.945776E-01,0.449306
0.268555,0.954453E-01,0.484733
0.270996,0.963130E-01,-0.162634
0.273438,0.971807E-01,0.360243
0.275879,0.980483E-01,0.325521
0.278320,0.989160E-01,-0.310612E-01
0.280762,0.997837E-01,0.185477
0.283203,0.100651,-0.354272E-01
0.285645,0.101519,0.111421
0.288086,0.102387,0.278871
0.290527,0.103254,0.913282
0.292969,0.104122,0.404309E-01
0.295410,0.104990,-0.629876E-01
0.297852,0.105857,-0.154410
0.300293,0.106725,0.401516
0.302734,0.107593,0.806907E-01
0.305176,0.108461,0.270056
0.307617,0.109328,0.515524
0.310059,0.110196,0.349932
0.312500,0.111064,0.223556
