"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_2_1_1","RH_2_1_1","T_DP_2_1_1","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
205310010805,205310010830,386.0309,15.58933,0.714905,0.139311,-68.79409,6,33.38529,4,0.04813638,4,-98.67925,3,55.67802,156.5016,79.67772,60.25491,139.4923,7.787073,15.1175,0.6599899,0.01048352,0.5500497,3,257.5472,7.562231,1.815174,0,1.831573,0,0.5744486,96.1929,-6.991269,19.31559,-27.12766,1.774624,10.2324,-26.76322,6.266938,1.838619,0.3702408,330.6333
205310010830,205310010900,333.903,13.54439,0.7278918,0.09989314,92.746,6,32.43784,4,0.04676213,4,-122.3528,4,50.13988,140.7464,71.70811,54.23281,162.3766,7.392441,16.18851,0.7486582,0.008944787,0.708097,4,301.8518,6.943127,1.815098,0,2.432355,0,0.627268,99.64154,-7.442098,20.00121,-26.73086,1.590236,10.56891,-26.36432,6.162477,1.657521,0.4374831,358.6419
205310010900,205310010930,294.0182,10.16537,0.6329195,0.1350845,8.644193,6,13.42877,3,0.01936805,3,-30.92755,4,45.11927,125.643,64.34081,48.67872,125.0292,6.743847,14.27058,0.6218494,0.003909814,0.4873473,2,690.5699,6.272404,2.041175,0,2.487934,1.490116e-08,0.6354613,99.57853,-6.932318,16.67178,-28.27585,2.094318,8.850215,-27.91542,6.510682,2.14953,0.5360448,604.3832
205310010930,205310011000,267.1953,6.351268,0.6618216,0.0814813,-6.250737,7,22.64013,1,0.03265862,1,-74.43849,1,51.74934,145.2399,74.00862,55.97282,134.7699,7.794337,18.26908,0.6350907,0.008905969,0.5076796,1,303.1675,7.436691,2.066203,0,2.313555,2.980232e-08,0.616847,99.51467,-6.752739,17.20432,-27.75998,2.262717,9.13629,-27.39847,6.566474,2.320458,0.3953168,359.4737
205310011000,205310011030,249.973,4.641185,0.7418605,0.1289117,-1.218972,7,24.95194,3,0.03599731,3,-89.90769,3,55.12172,155.0003,78.89208,59.65967,143.1774,7.653074,13.81245,0.633672,0.01084703,0.5051021,3,248.916,7.437791,1.71883,0,1.729778,-1.490116e-08,0.5698088,99.49718,-6.686839,19.16077,-26.53795,2.376072,10.14759,-26.17059,6.545461,2.441881,0.3606033,325.1768
205310011030,205310011100,238.6547,3.81272,0.840206,0.1311495,-1.896333,9,15.4616,3,0.02230452,3,-71.83383,3,51.62219,145.4212,73.92451,55.8987,148.7138,6.084122,13.43312,0.5612154,0.01252028,0.3962438,3,215.6502,5.923608,1.483982,0,1.39239,0,0.5020657,99.4893,-6.710815,21.75068,-25.16626,2.310071,11.54965,-24.79598,6.41323,2.383869,0.3414706,304.1467
205310011100,205310011130,230.7119,2.811608,0.8242183,0.1359117,1.053706,1,13.06755,1,0.01885331,1,-62.93378,1,47.67832,133.7905,68.17463,51.5618,158.0897,6.17305,12.18219,0.6108734,0.008511806,0.4691054,1,317.2065,5.966571,1.580446,0,1.588038,2.980232e-08,0.5673852,99.46002,-6.597908,21.12173,-25.36242,2.443325,11.21371,-24.99215,6.498319,2.515389,0.3258256,368.3489
205310011130,205310011200,226.0169,3.196153,0.8069161,0.1789825,-0.9827219,7,23.77176,4,0.03429893,4,-85.46134,3,46.71261,130.9423,66.76748,50.50004,160.2485,5.22015,11.48194,0.6995827,0.007666877,0.614923,3,352.1643,4.843926,1.601828,0,1.959428,5.960464e-08,0.5190874,99.43032,-6.514679,20.54081,-25.63089,2.5059,10.92931,-25.26246,6.548757,2.576952,0.3540789,390.4487
205310011200,205310011230,221.8544,3.837001,0.9240198,0.1835897,9.593355,4,5.128836,7,0.007397758,7,-125.06,3,43.36164,121.1482,61.90149,46.82683,170.7263,5.187758,14.67711,0.8940569,0.005450706,1.005015,4,495.3487,4.376508,2.038756,0,2.737697,2.980232e-08,0.5869781,99.38227,-6.880467,24.11916,-24.1073,2.17091,12.78435,-23.73202,6.260667,2.252568,0.4437668,480.9675
205310011230,205310011300,218.8795,4.378944,0.956022,0.2232487,2.548025,3,5.901242,3,0.008514544,3,-65.32364,3,48.27391,134.5313,68.86262,52.0976,157.432,6.900094,14.81261,0.7754321,0.004355349,0.7544374,3,619.9274,6.58978,1.857778,0,2.076455,0,0.6381447,99.29603,-6.596866,24.37638,-23.7509,2.503058,12.90088,-23.37259,6.400118,2.586385,0.3242544,559.7242
205310011300,205310011330,218.4539,4.51714,0.9385999,0.2216237,0.3876038,4,0.03141645,8,4.533768e-05,8,-41.18664,1,50.04471,138.6473,71.24563,53.91399,158.2374,8.700062,15.98832,0.8561514,0.002052391,0.918239,1,1315.539,8.427734,2.167294,0,2.168416,0,0.753083,99.21319,-6.463704,23.70219,-24.09978,2.707776,12.4871,-23.71842,6.52548,2.790128,0.2993036,999.4556
205310011330,205310011400,220.3719,6.606564,0.8635922,0.4017104,-0.8663776,7,29.27345,3,0.04225331,3,-94.1979,3,56.31944,156.9786,80.35646,60.79158,149.9627,10.7243,19.77519,0.853986,0.004648594,0.9126428,1,580.8207,10.53683,1.995126,0,2.034644,0,0.7792243,99.17806,-6.346528,21.52726,-25.39303,2.913135,11.27526,-25.02099,11.12846,2.978981,0.2969084,535.0016
205310011400,205310011430,221.5073,6.791354,0.7350443,0.35996,-0.1205261,3,17.41642,3,0.0251391,3,-84.58734,3,59.20448,165.3942,84.54451,63.95316,144.0461,10.2757,18.06087,0.7601106,0.005956885,0.7229007,1,453.257,10.16878,1.974245,0,1.534386,8.940697e-08,0.6984664,99.16208,-6.317511,18.245,-27.12162,2.923094,9.569164,-26.75562,6.84325,2.988702,0.2848472,454.3579
205310011430,205310011500,220.6949,7.308724,0.6801058,0.395223,1.010394,1,28.67142,1,0.04139955,1,-100.6759,1,59.30529,165.7185,84.69633,64.06727,144.3856,11.26112,18.81941,0.797575,0.006114568,0.7941611,1,441.5684,11.0952,2.121732,0,1.976168,8.940697e-08,0.756747,99.07499,-6.007879,16.46606,-28.33351,3.300484,8.609249,-27.97929,7.110591,3.358387,0.4910451,446.9685
205310011500,205310011530,222.6008,5.831368,0.6857059,0.3322753,4.874405,3,24.77682,3,0.03580354,3,-84.64625,3,57.83571,160.8487,82.45745,62.38694,145.7772,10.97406,20.82845,0.8942865,0.003647264,0.9949783,3,740.281,10.78945,2.70411,0,2.011049,0,0.7747618,99.01806,-5.245878,15.70562,-27.93169,4.11127,8.224314,-27.56961,57.01311,4.151463,0.4869961,635.8098
205310011530,205310011600,225.122,4.565067,0.6666313,0.2139188,3.229738,3,30.69683,3,0.04438226,3,-146.5614,3,54.12197,150.6958,77.18989,58.39896,155.2886,10.55471,19.74023,1.034865,0.004095534,1.329337,3,659.2546,10.22192,2.484046,0,2.63659,5.960464e-08,0.8279732,98.99941,-4.650437,14.65082,-28.01146,4.6822,7.704839,-27.65171,7.915962,4.740526,0.5782282,584.5863
205310011600,205310011630,227.9803,4.442897,0.6703382,0.2275209,3.481504,4,36.16437,3,0.05231111,3,-133.6965,3,53.28918,148.2091,75.97094,57.47971,156.1228,10.45713,20.80707,1.049053,0.003575433,1.363133,3,755.1534,10.08986,2.708005,0,2.74415,5.960464e-08,0.8380574,98.9535,-4.184728,14.21782,-27.99471,5.15989,7.487501,-27.63452,101.5801,5.197739,0.4558986,645.2118
205310011630,205310011700,230.9941,4.474504,0.6173743,0.1803438,1.189112,3,34.21776,3,0.04950295,3,"NAN",3,56.93318,158.7717,81.24781,61.46442,150.6225,10.62901,19.82711,0.864749,0.004927095,"+INF",1,547.9902,10.39579,2.370259,0,2.256439,0,0.7615221,98.94132,-4.022216,12.94007,-28.83401,5.320831,6.826391,-28.4765,"+INF",5.383323,0.463028,514.2467
205310011700,205310011730,231.2651,2.563279,0.5323995,0.1470035,-3.123623,7,13.66082,4,0.01976105,4,-143.7493,3,54.06293,150.8165,77.15678,58.36908,150.6451,9.128996,21.17323,0.9627424,0.00502429,1.147949,4,537.3894,8.742822,2.238317,0,2.592998,2.980232e-08,0.7230873,98.9621,-4.081033,11.19037,-30.30424,5.20839,5.933222,-29.93994,8.366597,5.253935,0.4558589,507.545
205310011730,205310011800,230.0005,4.136981,0.3589522,0.1798935,3.318596,1,8.440568,1,0.01220464,1,-32.72665,1,49.10779,136.6773,70.02185,52.97747,181.8892,8.206094,15.01815,0.6438232,0.003788641,0.5143079,1,712.6566,8.037368,1.594293,0,1.815133,5.960464e-08,0.7022829,98.97859,-4.527388,7.765413,-34.79336,4.773051,4.10658,-34.44627,8.40809,4.801703,0.3011385,618.3461
205310011800,205310011830,230.0023,5.452908,0.2313946,0.2834936,"NAN",1,"NAN",4,"NAN",4,"NAN",1,50.76329,141.0835,72.34882,54.74121,173.885,8.461973,14.91539,0.657637,0.003227972,"NAN",1,836.4385,8.338441,1.616937,0,1.606857,0,0.6978795,98.94626,-4.649481,4.968166,-40.21988,4.658804,2.632364,-39.88022,"NAN",4.709148,0.2559614,696.599
205310011830,205310011900,232.3234,1.702397,0.3675687,0.09986482,1.523771,3,9.829582,3,0.0142173,3,-16.70747,3,51.57066,142.8648,73.41791,55.55784,172.7876,8.756915,16.92395,0.649836,0.001846407,0.5229116,1,1462.3,8.630546,1.619971,0,1.657843,-5.960464e-08,0.7037682,98.8937,-4.216601,7.79107,-34.28783,5.084842,4.113865,-33.93882,8.452316,5.11715,0.4105594,1000
205310011900,205310011930,235.1041,1.689726,0.4685186,0.07003981,1.209096,1,6.529801,2,0.009450935,2,-43.40338,1,49.41499,137.927,70.53044,53.35558,174.4174,8.702644,15.59586,0.6390693,0.005174029,0.5043813,1,521.8371,8.589716,1.617389,0,1.562128,-5.960464e-08,0.7376246,98.88554,-3.496802,9.423198,-31.53121,5.79406,5.000041,-31.17578,8.798985,5.836239,0.484585,497.7131
205310011930,205310012000,237.8453,0.8568434,0.5227438,0.06433438,0.5865034,3,12.51089,3,0.01811305,3,-71.66332,3,59.8263,166.9092,85.39303,64.59876,157.3734,10.04193,16.73262,0.7529177,0.005217689,0.6991393,3,517.4705,9.889213,1.880061,0,1.79327,0,0.6716758,98.86278,-3.228501,10.32441,-30.36657,6.105758,5.470915,-30.00641,8.945807,6.152422,0.3909101,494.9526
205310012000,205310012030,237.7975,0.7801338,0.4954153,0.05125642,2.207433,2,12.08368,1,0.01749247,1,-71.14415,1,63.53757,178.2941,90.88394,68.73386,148.5237,9.724915,16.43766,0.6188376,0.00933235,0.4724872,1,289.3162,9.614574,1.58369,0,1.523405,8.940697e-08,0.5943012,98.85587,-3.358046,9.876089,-30.91406,5.980993,5.225736,-30.55568,8.891157,6.025565,0.3611908,350.7172
