TIMESTAMP_START,TIMESTAMP_END,DOY_START,DOY_END,FILENAME_HF,SW_IN_POT,NIGHT,EXPECT_NR,FILE_NR,CUSTOM_FILTER_NR,WD_FILTER_NR,SONIC_NR,T_SONIC_NR,CO2_NR,H2O_NR,CH4_NR,NONE_NR,TAU_NR,H_NR,FC_NR,LE_NR,FCH4_NR,FNONE_NR,TAU,H,LE,ET,FC,FH2O,FCH4,FNONE,TAU_RANDUNC_HF,H_RANDUNC_HF,LE_RANDUNC_HF,ET_RANDUNC_HF,FC_RANDUNC_HF,FH2O_RANDUNC_HF,FCH4_RANDUNC_HF,FNONE_RANDUNC_HF,SH_SINGLE,SLE_SINGLE,SET_SINGLE,SC_SINGLE,SH2O_SINGLE,SCH4_SINGLE,SNONE_SINGLE,FC_VADV,FH2O_VADV,FCH4_VADV,FNONE_VADV,U_UNROT,V_UNROT,W_UNROT,U,V,W,WS,WS_MAX,WD,WD_SIGMA,USTAR,TKE,MO_LENGTH,ZL,BOWEN,TSTAR,T_SONIC,TA_EP,PA_EP,RH_EP,AIR_MV,AIR_DENSITY,AIR_RHO_CP,AIR_CP,VAPOR_DENSITY,VAPOR_PARTIAL_PRESSURE,VAPOR_PARTIAL_PRESSURE_SAT,SPECIFIC_HUMIDITY,VPD_EP,TDEW,DRYAIR_PARTIAL_PRESSURE,DRYAIR_DENSITY,DRYAIR_MV,SPECIFIC_HEAT_EVAP,VAPOR_DRYAIR_RATIO,CO2_MEAS_TYPE,CO2_MOLAR_DENSITY,CO2_MIXING_RATIO,CO2,H2O_MEAS_TYPE,H2O_MOLAR_DENSITY,H2O_MIXING_RATIO,H2O,CH4_MEAS_TYPE,CH4_MOLAR_DENSITY,CH4_MIXING_RATIO,CH4,NONE_MEAS_TYPE,NONE_MOLAR_DENSITY,NONE_MIXING_RATIO,NONE,CO2_TLAG_ACTUAL,CO2_TLAG_USED,CO2_TLAG_NOMINAL,CO2_TLAG_MIN,CO2_TLAG_MAX,H2O_TLAG_ACTUAL,H2O_TLAG_USED,H2O_TLAG_NOMINAL,H2O_TLAG_MIN,H2O_TLAG_MAX,CH4_TLAG_ACTUAL,CH4_TLAG_USED,CH4_TLAG_NOMINAL,CH4_TLAG_MIN,CH4_TLAG_MAX,NONE_TLAG_ACTUAL,NONE_TLAG_USED,NONE_TLAG_NOMINAL,NONE_TLAG_MIN,NONE_TLAG_MAX,U_MEDIAN,V_MEDIAN,W_MEDIAN,T_SONIC_MEDIAN,CO2_MEAS_MEDIAN,H2O_MEAS_MEDIAN,CH4_MEAS_MEDIAN,NONE_MEAS_MEDIAN,U_P25,V_P25,W_P25,T_SONIC_P25,CO2_MEAS_P25,H2O_MEAS_P25,CH4_MEAS_P25,NONE_MEAS_P25,U_P75,V_P75,W_P75,T_SONIC_P75,CO2_MEAS_P75,H2O_MEAS_P75,CH4_MEAS_P75,NONE_MEAS_P75,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_MEAS_SIGMA,H2O_MEAS_SIGMA,CH4_MEAS_SIGMA,NONE_MEAS_SIGMA,U_SKW,V_SKW,W_SKW,T_SONIC_SKW,CO2_MEAS_SKW,H2O_MEAS_SKW,CH4_MEAS_SKW,NONE_MEAS_SKW,U_KUR,V_KUR,W_KUR,T_SONIC_KUR,CO2_MEAS_KUR,H2O_MEAS_KUR,CH4_MEAS_KUR,NONE_MEAS_KUR,W_U_COV,W_T_SONIC_COV,W_CO2_MEAS_COV,W_H2O_MEAS_COV,W_CH4_MEAS_COV,W_NONE_MEAS_COV,CO2_MEAS_H2O_MEAS_COV,CO2_MEAS_CH4_MEAS_COV,CO2_MEAS_NONE_MEAS_COV,H2O_MEAS_CH4_MEAS_COV,H2O_MEAS_NONE_MEAS_COV,CH4_MEAS_NONE_MEAS_COV,FETCH_MAX,FETCH_OFFSET,FETCH_10,FETCH_30,FETCH_50,FETCH_70,FETCH_80,FETCH_90,USTAR_UNCORR,MO_LENGTH_UNCORR,ZL_UNCORR,TAU_UNCORR,H_UNCORR,LE_UNCORR,ET_UNCORR,FC_UNCORR,FH2O_UNCORR,FCH4_UNCORR,FNONE_UNCORR,TAU_STAGE1,H_STAGE1,LE_STAGE1,ET_STAGE1,FC_STAGE1,FH2O_STAGE1,FCH4_STAGE1,FNONE_STAGE1,TAU_STAGE2,H_STAGE2,LE_STAGE2,ET_STAGE2,FC_STAGE2,FH2O_STAGE2,FCH4_STAGE2,FNONE_STAGE2,T_CELL,PA_CELL,MV_AIR_CELL_CO2,MV_AIR_CELL_H2O,MV_AIR_CELL_CH4,MV_AIR_CELL_NONE,FH2O_CELL_CO2,FH2O_CELL_CH4,FH2O_CELL_NONE,H_CELL_CO2,H_CELL_H2O,H_CELL_CH4,H_CELL_NONE,H_BU_BOT,H_BU_TOP,H_BU_SPAR,SPEC_CORR_LI7700_A,SPEC_CORR_LI7700_B,SPEC_CORR_LI7700_C,TAU_SCF,H_SCF,LE_SCF,ET_SCF,FC_SCF,FH2O_SCF,FCH4_SCF,FNONE_SCF,W_T_SONIC_COV_IBROM,W_T_SONIC_COV_IBROM_N1626,W_T_SONIC_COV_IBROM_N0614,W_T_SONIC_COV_IBROM_N0277,W_T_SONIC_COV_IBROM_N0133,W_T_SONIC_COV_IBROM_N0065,W_T_SONIC_COV_IBROM_N0032,W_T_SONIC_COV_IBROM_N0016,W_T_SONIC_COV_IBROM_N0008,W_T_SONIC_COV_IBROM_N0004,U_NUM_SPIKES,V_NUM_SPIKES,W_NUM_SPIKES,T_SONIC_NUM_SPIKES,CO2_NUM_SPIKES,H2O_NUM_SPIKES,CH4_NUM_SPIKES,NONE_NUM_SPIKES,CUSTOM_FILTER_NREX,WD_FILTER_NREX,SONIC_DIAG_NREX,CO2_DIAG_NREX,H2O_DIAG_NREX,CH4_DIAG_NREX,NONE_DIAG_NREX,U_SPIKE_NREX,V_SPIKE_NREX,W_SPIKE_NREX,T_SONIC_SPIKE_NREX,CO2_SPIKE_NREX,H2O_SPIKE_NREX,CH4_SPIKE_NREX,NONE_SPIKE_NREX,U_ABSLIM_NREX,V_ABSLIM_NREX,W_ABSLIM_NREX,T_SONIC_ABSLIM_NREX,CO2_ABSLIM_NREX,H2O_ABSLIM_NREX,CH4_ABSLIM_NREX,NONE_ABSLIM_NREX,U_VM97_TEST,V_VM97_TEST,W_VM97_TEST,T_SONIC_VM97_TEST,CO2_VM97_TEST,H2O_VM97_TEST,CH4_VM97_TEST,NONE_VM97_TEST,VM97_TLAG_HF,VM97_TLAG_SF,VM97_AOA_HF,VM97_NSHW_HF,U_LGD,V_LGD,W_LGD,T_SONIC_LGD,CO2_LGD,H2O_LGD,CH4_LGD,NONE_LGD,U_KID,V_KID,W_KID,T_SONIC_KID,CO2_KID,H2O_KID,CH4_KID,NONE_KID,U_ZCD,V_ZCD,W_ZCD,T_SONIC_ZCD,CO2_ZCD,H2O_ZCD,CH4_ZCD,NONE_ZCD,TAU_CORRDIFF,H_CORRDIFF,LE_CORRDIFF,ET_CORRDIFF,FC_CORRDIFF,FH2O_CORRDIFF,FCH4_CORRDIFF,FNONE_CORRDIFF,TAU_NSR,H_NSR,FC_NSR,FH2O_NSR,FCH4_NSR,FNONE_NSR,TAU_SS,H_SS,FC_SS,FH2O_SS,FCH4_SS,FNONE_SS,U_ITC,W_ITC,T_SONIC_ITC,TAU_SS_TEST,H_SS_TEST,FC_SS_TEST,FH2O_SS_TEST,FCH4_SS_TEST,FNONE_SS_TEST,U_ITC_TEST,W_ITC_TEST,T_SONIC_ITC_TEST,TAU_SSITC_TEST,H_SSITC_TEST,LE_SSITC_TEST,ET_SSITC_TEST,FC_SSITC_TEST,FH2O_SSITC_TEST,FCH4_SSITC_TEST,FNONE_SSITC_TEST,INST_LI7200_HEAD_DETECT,INST_LI7200_T_OUT,INST_LI7200_T_IN,INST_LI7200_AUX_IN,INST_LI7200_DELTA_P,INST_LI7200_CHOPPER,INST_LI7200_DETECTOR,INST_LI7200_PLL,INST_LI7200_SYNC,INST_LI7500_CHOPPER,INST_LI7500_DETECTOR,INST_LI7500_PLL,INST_LI7500_SYNC,INST_LI7700_NOT_READY,INST_LI7700_NO_SIGNAL,INST_LI7700_RE_UNLOCKED,INST_LI7700_BAD_TEMP,INST_LI7700_LASER_T_UNREG,INST_LI7700_BLOCK_T_UNREG,INST_LI7700_MOTOR_SPINNING,INST_LI7700_PUMP_ON,INST_LI7700_TOP_HEATER_ON,INST_LI7700_BOTTOM_HEATER_ON,INST_LI7700_CALIBRATING,INST_LI7700_MOTOR_FAILURE,INST_LI7700_BAD_AUX_TC1,INST_LI7700_BAD_AUX_TC2,INST_LI7700_BAD_AUX_TC3,INST_LI7700_BOX_CONNECTED,INST_LI7200_AGC_OR_RSSI,INST_LI7500_AGC_OR_RSSI,INST_LI7700_RSSI,WBOOST_APPLIED,AOA_METHOD,AXES_ROTATION_METHOD,ROT_YAW,ROT_PITCH,ROT_ROLL,DETRENDING_METHOD,DENTRENDING_TIME_CONSTANT,TIMELAG_DETECTION_METHOD,WPL_APPLIED,BURBA_METHOD,SPECTRAL_CORRECTION_METHOD,FOOTPRINT_MODEL,LOGGER_SWVER_MAJOR,LOGGER_SWVER_MINOR,LOGGER_SWVER_REVISION,BADM_LOCATION_LAT,BADM_LOCATION_LONG,BADM_LOCATION_ELEV,BADM_HEIGHTC,DISPLACEMENT_HEIGHT,ROUGHNESS_LENGTH,FILE_TIME_DURATION,BADM_INST_SAMPLING_INT,BADM_INST_AVERAGING_INT,MANUFACTURER_SA,BADM_INST_MODEL_SA,BADM_INST_HEIGHT_SA,BADM_INST_SA_WIND_FORMAT,BADM_INST_SA_GILL_ALIGN,BADM_SA_OFFSET_NORTH,HPATH_SA,VPATH_SA,RESPONSE_TIME_SA,MANUFACTURER_GA_CO2,BADM_INST_MODEL_GA_CO2,BADM_INSTPAIR_NORTHWARD_SEP_GA_CO2,BADM_INSTPAIR_EASTWARD_SEP_GA_CO2,BADM_INSTPAIR_HEIGHT_SEP_GA_CO2,BADM_INST_GA_CP_TUBE_LENGTH_GA_CO2,BADM_INST_GA_CP_TUBE_IN_DIAM_GA_CO2,BADM_INST_GA_CP_TUBE_FLOW_RATE_GA_CO2,HPATH_GA_CO2,VPATH_GA_CO2,RESPONSE_TIME_GA_CO2,MANUFACTURER_GA_H2O,BADM_INST_MODEL_GA_H2O,BADM_INSTPAIR_NORTHWARD_SEP_GA_H2O,BADM_INSTPAIR_EASTWARD_SEP_GA_H2O,BADM_INSTPAIR_HEIGHT_SEP_GA_H2O,BADM_INST_GA_CP_TUBE_LENGTH_GA_H2O,BADM_INST_GA_CP_TUBE_IN_DIAM_GA_H2O,BADM_INST_GA_CP_TUBE_FLOW_RATE_GA_H2O,KRYPTON_HYDRO_KH2O_GA_H2O,KRYPTON_HYDRO_KO2_GA_H2O,HPATH_GA_H2O,VPATH_GA_H2O,RESPONSE_TIME_GA_H2O,MANUFACTURER_GA_CH4,BADM_INST_MODEL_GA_CH4,BADM_INSTPAIR_NORTHWARD_SEP_GA_CH4,BADM_INSTPAIR_EASTWARD_SEP_GA_CH4,BADM_INSTPAIR_HEIGHT_SEP_GA_CH4,BADM_INST_GA_CP_TUBE_LENGTH_GA_CH4,BADM_INST_GA_CP_TUBE_IN_DIAM_GA_CH4,BADM_INST_GA_CP_TUBE_FLOW_RATE_GA_CH4,HPATH_GA_CH4,VPATH_GA_CH4,RESPONSE_TIME_GA_CH4,MANUFACTURER_GA_NONE,BADM_INST_MODEL_GA_NONE,BADM_INSTPAIR_NORTHWARD_SEP_GA_NONE,BADM_INSTPAIR_EASTWARD_SEP_GA_NONE,BADM_INSTPAIR_HEIGHT_SEP_GA_NONE,BADM_INST_GA_CP_TUBE_LENGTH_GA_NONE,BADM_INST_GA_CP_TUBE_IN_DIAM_GA_NONE,BADM_INST_GA_CP_TUBE_FLOW_RATE_GA_NONE,HPATH_GA_NONE,VPATH_GA_NONE,RESPONSE_TIME_GA_NONE,NUM_CUSTOM_VARS,NUM_BIOMET_VARS
202401270000,202401270010,27.0000,27.0069,36719_Time_Series_Hr_2024-01-27-0000.dat,0.00000,1,12000,12000,12000,12000,12000,12000,12000,12000,-9999,-9999,12000,12000,12000,12000,-9999,-9999,-0.162310,-33.3833,35.3997,0.509241E-01,-0.716246,0.785865,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00000,-9999,-9999,-9999,-9999,-0.628854E-10,-0.446202E-12,-9999,-9999,5.10875,0.393643E-01,0.562342,5.13975,-0.309680E-13,-0.351713E-14,5.13975,8.18646,169.460,6.55300,0.356213,0.628027,118.321,0.166201E-01,-0.943040,0.727773E-01,2.77464,0.163608,100.461,46.7581,0.226190E-01,1.27916,1287.72,1006.70,0.228611E-02,2.88357,6.16700,0.178720E-02,3.28343,-9.91316,100.173,1.27687,0.226841E-01,0.249975E+07,0.179040E-02,2,17.8797,405.585,404.421,2,126.865,2.87782,2.86956,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00000,0.00000,0.00000,-0.334641,0.334641,0.00000,0.00000,0.00000,-0.334641,0.334641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.08793,0.134988E-01,-0.739988E-02,2.76386,17.8775,127.132,-9999,-9999,4.48319,-0.367466,-0.215838,2.64469,17.8624,123.378,-9999,-9999,5.73448,0.382357,0.214725,2.89794,17.8953,130.448,-9999,-9999,0.899075,0.577608,0.337768,0.182396,0.227083E-01,5.05186,-9999,-9999,0.282841,-0.203835,0.200449E-01,0.219026,0.377036,-0.163427,-9999,-9999,2.71291,3.74917,3.61682,2.85259,2.69903,2.66560,-9999,-9999,-0.122972,-0.238443E-01,0.564777E-03,0.679001,-9999,-9999,0.120203E-01,-9999,-9999,-9999,-9999,-9999,44.2027,-6.70792,15.1733,37.7838,57.6226,80.8166,96.7168,121.078,0.353586,125.816,0.156300E-01,-0.159924,-30.7049,30.5859,0.439993E-01,0.564777,0.679001,-9999,-9999,-0.162310,-30.7049,35.8401,0.515577E-01,0.661798,0.795643,-9999,-9999,-0.162310,-32.4103,35.4433,0.509868E-01,-0.716246,0.786834,-9999,-9999,0.163608,100.461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01492,1.03002,1.17178,1.17178,1.17178,1.17178,-9999,-9999,-0.234722E-01,-0.206740E-01,-0.178418E-01,-0.149439E-01,-0.120140E-01,-0.910628E-02,-0.626944E-02,-0.387054E-02,-0.223232E-02,-0.129149E-02,1,16,1,1,18,0,-9999,-9999,0,0,0,0,0,-9999,-9999,1,21,1,2,18,0,-9999,-9999,0,0,0,0,0,0,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,-9999,-9999,89999,89999,89,89,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999,-9999,4.34234,4.74444,5.15894,5.71140,3.68296,8.63784,-9999,-9999,0,0,0,2,1,0,-9999,-9999,0.335210E-01,0.445449E-02,0.207363E-01,0.207363E-01,0.304336E-01,0.207363E-01,-9999,-9999,0.891054,0.669208,0.995701,0.674887,-9999,-9999,7,6,11,10,-9999,-9999,20,13,35,1,1,1,1,-9999,-9999,2,1,3,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9999,9999,-9999,0,0,1,0.441471,6.28132,-9999,0,0,2,1,0,1,0,-9999,-9999,-9999,10.0000,0.166670E-01,10.0000,0.500000E-01,0.335000E-01,0.750000E-02,60,20,10,csi,csat3_1,2.00000,uvw,na,-10.0000,5.80000,11.5000,0.166667E-01,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,3.00000,15.0000,0.100000,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,-9999,-9999,3.00000,15.0000,0.100000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0
202401270010,202401270020,27.0069,27.0138,36719_Time_Series_Hr_2024-01-27-0000.dat,0.00000,1,12000,12000,12000,12000,12000,12000,12000,12000,-9999,-9999,12000,12000,12000,12000,-9999,-9999,-0.161474,-32.1837,33.1506,0.476826E-01,-0.573205,0.735842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.576279,0.594637E-01,0.855305E-04,-0.381440E-01,0.131991E-02,-9999,-9999,0.437976E-10,0.311928E-12,-9999,-9999,5.49861,-0.215694,0.578376,5.53315,0.826033E-14,0.244998E-14,5.53315,8.22258,172.418,6.22270,0.355213,0.605518,121.697,0.161589E-01,-0.970835,0.703269E-01,2.63569,0.294160E-01,100.459,47.3613,0.226083E-01,1.27975,1288.33,1006.70,0.229429E-02,2.89246,6.10721,0.179276E-02,3.21475,-9.87419,100.170,1.27746,0.226736E-01,0.250006E+07,0.179598E-02,2,17.8767,405.330,404.164,2,127.319,2.88678,2.87847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00000,0.00000,0.00000,-0.334641,0.334641,0.00000,0.00000,0.00000,-0.334641,0.334641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.52616,0.707560E-02,-0.131619E-01,2.62704,17.8763,127.555,-9999,-9999,4.92704,-0.369625,-0.231432,2.51069,17.8633,124.243,-9999,-9999,6.14279,0.360458,0.216676,2.75718,17.8900,130.532,-9999,-9999,0.860108,0.587508,0.355083,0.174100,0.186326E-01,4.54042,-9999,-9999,0.543111E-01,0.186268E-02,0.241359,0.170290,0.105641,-0.171795,-9999,-9999,2.74484,3.50930,3.54513,2.76603,2.52079,2.77185,-9999,-9999,-0.124056,-0.229930E-01,0.646010E-03,0.630185,-9999,-9999,0.317243E-01,-9999,-9999,-9999,-9999,-9999,42.3741,-6.43044,14.5457,36.2208,55.2390,77.4734,92.7159,116.069,0.352510,129.224,0.152177E-01,-0.159026,-29.6225,28.3906,0.408360E-01,0.646010,0.630185,-9999,-9999,-0.161474,-29.6225,33.5796,0.482998E-01,0.764084,0.745367,-9999,-9999,-0.161474,-31.2034,33.1924,0.477428E-01,-0.573205,0.736772,-9999,-9999,0.294160E-01,100.459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01539,1.03142,1.18277,1.18277,1.18277,1.18277,-9999,-9999,-0.216864E-01,-0.189993E-01,-0.161133E-01,-0.129753E-01,-0.979360E-02,-0.684049E-02,-0.449564E-02,-0.293268E-02,-0.186903E-02,-0.112087E-02,2,12,4,4,10,2,-9999,-9999,0,0,0,0,0,-9999,-9999,2,17,4,5,10,3,-9999,-9999,0,0,0,0,0,0,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,-9999,-9999,89999,89999,89,89,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999,-9999,4.84762,4.84694,6.01630,5.59974,3.57316,8.19622,-9999,-9999,0,0,0,2,1,0,-9999,-9999,0.105081E-02,0.519704E-02,0.346842E-01,0.346842E-01,0.169055E-01,0.346842E-01,-9999,-9999,0.498060,0.444886,1.24796,0.506439,-9999,-9999,0,2,16,2,-9999,-9999,15,8,37,1,1,2,1,-9999,-9999,1,1,3,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9999,9999,-9999,0,0,1,357.754,6.00005,-9999,0,0,2,1,0,1,0,-9999,-9999,-9999,10.0000,0.166670E-01,10.0000,0.500000E-01,0.335000E-01,0.750000E-02,60,20,10,csi,csat3_1,2.00000,uvw,na,-10.0000,5.80000,11.5000,0.166667E-01,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,3.00000,15.0000,0.100000,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,-9999,-9999,3.00000,15.0000,0.100000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0
202401270020,202401270030,27.0138,27.0208,36719_Time_Series_Hr_2024-01-27-0000.dat,0.00000,1,12000,12000,12000,12000,12000,12000,12000,12000,-9999,-9999,12000,12000,12000,12000,-9999,-9999,-0.156976,-30.9778,31.8229,0.457773E-01,-0.481930,0.706440,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.436688,-0.267684,-0.385065E-03,0.693226E-01,-0.594235E-02,-9999,-9999,-0.780383E-10,-0.547411E-12,-9999,-9999,5.41805,0.153259,0.595534,5.45284,0.421499E-13,-0.436200E-14,5.45284,8.26713,168.844,7.65646,0.350295,0.718933,121.255,0.162179E-01,-0.973444,0.686689E-01,2.74380,0.131143,100.457,46.3568,0.226171E-01,1.27927,1287.82,1006.68,0.226143E-02,2.85210,6.15249,0.176774E-02,3.30039,-10.0520,100.172,1.27701,0.226815E-01,0.249982E+07,0.177087E-02,2,17.8905,405.783,404.632,2,125.495,2.84643,2.83835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00000,0.00000,0.00000,-0.334641,0.334641,0.00000,0.00000,0.00000,-0.334641,0.334641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.50242,0.396359E-01,-0.129737E-01,2.74131,17.8750,125.693,-9999,-9999,4.84691,-0.447644,-0.225425,2.62901,17.8633,122.447,-9999,-9999,6.10932,0.464136,0.213721,2.85525,17.8969,128.720,-9999,-9999,0.926480,0.680641,0.340923,0.170993,0.408630E-01,4.63039,-9999,-9999,-0.225576,-0.154925,0.211411,0.936916E-01,1.18520,-0.205914,-9999,-9999,2.71889,3.12013,3.56086,2.97099,3.12223,2.87367,-9999,-9999,-0.119562,-0.221470E-01,0.683517E-03,0.606074,-9999,-9999,0.550711E-01,-9999,-9999,-9999,-9999,-9999,43.2910,-6.56957,14.8604,37.0045,56.4342,79.1497,94.7220,118.581,0.347647,128.734,0.152757E-01,-0.154612,-28.5214,27.3017,0.392736E-01,0.683517,0.606074,-9999,-9999,-0.156976,-28.5214,32.2301,0.463631E-01,0.806904,0.715481,-9999,-9999,-0.156976,-30.0427,31.8624,0.458342E-01,-0.481930,0.707318,-9999,-9999,0.131143,100.457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01529,1.03113,1.18052,1.18052,1.18052,1.18052,-9999,-9999,-0.227535E-01,-0.201695E-01,-0.176065E-01,-0.149813E-01,-0.122936E-01,-0.959582E-02,-0.702865E-02,-0.485032E-02,-0.309838E-02,-0.178847E-02,2,15,2,2,10,0,-9999,-9999,0,0,0,0,0,-9999,-9999,3,17,2,2,10,0,-9999,-9999,0,0,0,0,0,0,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,-9999,-9999,89999,89999,89,89,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999,-9999,5.03196,4.74861,5.60289,6.19687,3.63633,8.20514,-9999,-9999,0,0,0,3,1,0,-9999,-9999,0.312612E-01,0.303918E-02,0.187424E-01,0.187424E-01,0.114611E-01,0.187424E-01,-9999,-9999,0.786329,0.861384,1.41461,0.944598,-9999,-9999,0,1,7,2,-9999,-9999,25,11,36,1,1,1,1,-9999,-9999,2,1,3,0,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9999,9999,-9999,0,0,1,1.62027,6.27009,-9999,0,0,2,1,0,1,0,-9999,-9999,-9999,10.0000,0.166670E-01,10.0000,0.500000E-01,0.335000E-01,0.750000E-02,60,20,10,csi,csat3_1,2.00000,uvw,na,-10.0000,5.80000,11.5000,0.166667E-01,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,3.00000,15.0000,0.100000,other_irga,generic_open_path_1,1.00000,1.00000,1.00000,-9999,-9999,-9999,-9999,-9999,3.00000,15.0000,0.100000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0
