 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  4.805
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.999102E-03,0.231781,0.527362E-01,0.695024E-02,0.197264,0.388396,0.785492E-01,-9999.0,-9999.0,-0.158564E-01,-0.692973E-03,-0.395331E-01,0.758225E-01,-0.487854E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.199820E-02,0.158075,0.317068E-01,0.361222E-01,0.132547,0.478682,0.411981E-02,-9999.0,-9999.0,0.136394,0.463525,0.519137E-01,-0.347609,0.207620E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.299730E-02,0.200150,0.170509,0.347881E-01,0.421616,0.178754,0.409734,-9999.0,-9999.0,0.214400,1.14032,0.334685,-2.80345,0.274527,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.399641E-02,0.287063,0.115242,0.323452E-01,0.463352,0.325078E-01,0.400546,-9999.0,-9999.0,0.247715,0.760879,0.335773,-1.09413,0.295393,-9999.0,-9999.0
1,0.122070E-01,0.499551E-02,0.241833,0.112266E-01,0.494294E-01,0.250066,0.166015E-01,0.270942,-9999.0,-9999.0,0.270526,0.320341,0.292954,0.793312,0.286644,-9999.0,-9999.0
1,0.146484E-01,0.599461E-02,0.276221,0.364314E-01,0.574593E-01,0.411349,0.896530E-02,0.492275,-9999.0,-9999.0,0.308709,-0.680453,0.427127,0.834137,0.434458,-9999.0,-9999.0
1,0.170898E-01,0.699371E-02,0.404420E-01,0.784373E-01,0.271491E-02,0.835046E-01,0.565027E-01,0.125474,-9999.0,-9999.0,-0.262157E-01,0.703417E-01,-0.380742E-01,-0.406288,-0.430170E-01,-9999.0,-9999.0
2,0.207520E-01,0.849236E-02,0.565971E-01,0.386989,0.688101E-01,0.328698E-01,0.670907E-02,0.544688E-01,-9999.0,-9999.0,0.121147,-1.69013,-0.624503E-01,0.101360,-0.927986E-01,-9999.0,-9999.0
2,0.256348E-01,0.104906E-01,0.664849E-01,0.588155E-01,0.195199E-02,0.100265,0.409013E-02,0.106680,-9999.0,-9999.0,0.134054E-01,0.108601,0.284088E-02,0.666895E-01,0.344225E-02,-9999.0,-9999.0
2,0.305176E-01,0.124888E-01,0.140848,0.142577,0.140753E-01,0.179610,0.542801E-02,0.170204,-9999.0,-9999.0,0.484284E-01,0.468332,0.650175E-02,0.226640,0.230210E-02,-9999.0,-9999.0
2,0.354004E-01,0.144870E-01,0.475456E-01,0.419873E-01,0.144093E-01,0.113991,0.758675E-02,0.116942,-9999.0,-9999.0,0.616692E-01,-0.287208,0.510623E-01,-0.101488,0.347219E-01,-9999.0,-9999.0
3,0.415039E-01,0.169847E-01,0.235206,0.543812E-01,0.133018,0.242283,0.114438E-01,0.244841,-9999.0,-9999.0,0.439494,-0.539135E-01,0.470140,-1.33752,0.436018,-9999.0,-9999.0
4,0.500488E-01,0.204816E-01,0.110078,0.226801E-01,0.467517E-01,0.518756E-01,0.229085E-02,0.600407E-01,-9999.0,-9999.0,0.134928,-0.145154,0.104773,0.109233,0.927262E-01,-9999.0,-9999.0
4,0.598145E-01,0.244780E-01,0.158871,0.162939,0.137723,0.119989,0.247903E-02,0.124147,-9999.0,-9999.0,0.306170,-0.108618,0.284115,-0.597801E-02,0.260046,-9999.0,-9999.0
5,0.708008E-01,0.289739E-01,0.134567,0.203576,0.678757E-01,0.802446E-01,0.389601E-02,0.839701E-01,-9999.0,-9999.0,0.111346,-0.794027,0.887401E-01,0.303250,0.852000E-01,-9999.0,-9999.0
6,0.842285E-01,0.344690E-01,0.266197,0.670902E-01,0.156133,0.159643,0.441162E-02,0.193131,-9999.0,-9999.0,0.458975,0.782554E-01,0.371190,-0.246499,0.376549,-9999.0,-9999.0
7,0.100098,0.409632E-01,0.980685E-01,0.169338,0.119599,0.363097E-01,0.303888E-02,0.313669E-01,-9999.0,-9999.0,0.225266,0.308063,0.146785,-0.248084,0.121129,-9999.0,-9999.0
8,0.118408,0.484564E-01,0.170074,0.101706,0.113157,0.132552,0.612697E-02,0.130937,-9999.0,-9999.0,0.283477,0.286342,0.248136,-0.703116,0.239112,-9999.0,-9999.0
