 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.140
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.934096E-03,0.317852,0.141514,0.511209E-03,0.754726E-01,0.253594,0.923135E-01,-9999.0,-9999.0,0.300162E-01,0.724428E-01,0.576094E-02,0.586103E-01,0.613005E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.186819E-02,0.121627,0.108308,0.287987E-02,0.123566E-01,0.654844,0.768411E-03,-9999.0,-9999.0,-0.437752E-01,0.522985E-01,-0.158019E-01,0.182383E-02,0.177033E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.280229E-02,0.799193E-01,0.440123E-01,0.160924E-02,0.220321,0.159315,0.164686,-9999.0,-9999.0,-0.217316E-01,0.112259,-0.460529E-01,0.267443E-01,-0.402381E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.373638E-02,0.156066,0.459917E-02,0.119123E-01,0.354087,0.115982,0.310368,-9999.0,-9999.0,0.258548E-01,-0.886811E-01,-0.382224E-01,0.202331,-0.304485E-01,-9999.0,-9999.0
1,0.122070E-01,0.467048E-02,0.886999E-01,0.116989E-01,0.503913E-02,0.203950,0.982214E-02,0.148251,-9999.0,-9999.0,-0.526594E-01,-0.938933E-01,-0.802410E-01,-0.259136E-01,-0.636377E-01,-9999.0,-9999.0
1,0.146484E-01,0.560458E-02,0.627830E-01,0.834617E-01,0.113316E-01,0.116233,0.675707E-02,0.104687,-9999.0,-9999.0,0.625089E-01,-0.325863,0.908170E-01,-0.820631E-01,0.899973E-01,-9999.0,-9999.0
1,0.170898E-01,0.653867E-02,0.308274E-01,0.479226E-01,0.239452E-01,0.196894E-01,0.543555E-01,0.113826E-01,-9999.0,-9999.0,0.515666E-01,0.449065,-0.185737E-01,-0.314518,-0.199455E-01,-9999.0,-9999.0
2,0.207520E-01,0.793982E-02,0.205432,0.565491E-01,0.138614,0.124562,0.350068E-01,0.121411,-9999.0,-9999.0,0.418903,0.700354,0.221888,0.472699,0.219677,-9999.0,-9999.0
2,0.256348E-01,0.980801E-02,0.720700E-01,0.322140E-01,0.794438E-01,0.557857E-01,0.339575E-01,0.577852E-01,-9999.0,-9999.0,0.166320,-0.115067,0.166624,0.644489E-01,0.177048,-9999.0,-9999.0
2,0.305176E-01,0.116762E-01,0.171586,0.588025E-01,0.269329E-01,0.143853,0.260052E-01,0.135274,-9999.0,-9999.0,0.104444,-0.216485,0.515763E-01,-0.516174E-01,0.612886E-01,-9999.0,-9999.0
2,0.354004E-01,0.135444E-01,0.493299,0.328598E-01,0.963783E-01,0.268001,0.518589E-01,0.221984,-9999.0,-9999.0,0.523100,-0.286949,0.386483,0.400711,0.352704,-9999.0,-9999.0
3,0.415039E-01,0.158796E-01,0.738389E-01,0.265655E-01,0.276807E-01,0.454893E-01,0.564474E-01,0.461672E-01,-9999.0,-9999.0,0.954209E-02,0.464207E-01,0.231041E-01,-0.321814,0.222509E-01,-9999.0,-9999.0
4,0.500488E-01,0.191490E-01,0.485574E-01,0.105430,0.104907,0.666323E-01,0.135926E-01,0.556927E-01,-9999.0,-9999.0,0.114779,-0.928012,0.195456,-0.770379E-01,0.171474,-9999.0,-9999.0
4,0.598145E-01,0.228854E-01,0.106452,0.595543E-01,0.571120E-01,0.692860E-01,0.705453E-02,0.679419E-01,-9999.0,-9999.0,0.179345,-0.150272,0.961736E-01,-0.406771E-02,0.102911,-9999.0,-9999.0
5,0.708008E-01,0.270888E-01,0.167944,0.169621,0.585035E-01,0.823413E-01,0.165575E-01,0.688823E-01,-9999.0,-9999.0,0.160146,0.202793,0.589847E-01,-0.126147,0.520383E-01,-9999.0,-9999.0
6,0.842285E-01,0.322263E-01,0.191780,0.523418E-01,0.891212E-01,0.119885,0.497739E-01,0.109781,-9999.0,-9999.0,0.265224,-0.315748,0.215174,-0.397914,0.202791,-9999.0,-9999.0
7,0.100098,0.382979E-01,0.104178,0.164138,0.381886E-01,0.103571,0.493801E-01,0.928339E-01,-9999.0,-9999.0,0.260440E-01,0.210088,-0.390050E-01,-0.171320,-0.284389E-01,-9999.0,-9999.0
