 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.551
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.864960E-03,0.362243E-01,0.156293,0.109842E-02,0.100697,0.888948E-01,0.138752E-01,-9999.0,-9999.0,0.279354E-02,0.119932,0.252485E-01,-0.152301,0.885508E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.172992E-02,0.327123E-01,0.578778E-01,0.611454E-02,0.634029E-01,0.634045,0.254064E-01,-9999.0,-9999.0,0.147386E-01,0.229842,0.373413E-01,0.581956E-01,0.250775E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.259488E-02,0.215577E-01,0.341400E-01,0.152362E-01,0.230773,0.173519,0.200866,-9999.0,-9999.0,0.381734E-01,0.274003,0.151239,-0.795357,0.143219,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.345984E-02,0.123842,0.407963E-01,0.215744E-02,0.261384,0.174235,0.317352,-9999.0,-9999.0,0.309059E-01,0.507894E-01,0.570367E-01,0.286766,0.623131E-01,-9999.0,-9999.0
1,0.122070E-01,0.432480E-02,0.429401E-01,0.268138E-01,0.281246E-02,0.210212,0.195158,0.145966,-9999.0,-9999.0,-0.229364E-01,-0.936476E-01,-0.671965E-01,-0.334153,-0.524641E-01,-9999.0,-9999.0
1,0.146484E-01,0.518976E-02,0.679471E-01,0.638390E-01,0.297195E-01,0.328305E-02,0.145948E-01,0.370978E-02,-9999.0,-9999.0,0.549787E-01,-0.290679,-0.266415E-01,0.309824,-0.571333E-02,-9999.0,-9999.0
1,0.170898E-01,0.605472E-02,0.624485,0.121083,0.375012E-01,0.128299,0.155823,0.250841,-9999.0,-9999.0,0.316314,-0.574538,0.184217,-0.627683,0.233408,-9999.0,-9999.0
2,0.207520E-01,0.735216E-02,0.302199,0.602276E-01,0.133766E-01,0.422086E-01,0.879116E-01,0.437807E-01,-9999.0,-9999.0,0.123605,-0.629987E-01,0.430427E-01,-0.374371,0.353325E-01,-9999.0,-9999.0
2,0.256348E-01,0.908207E-02,0.456800E-01,0.137450,0.185437E-01,0.198234E-01,0.567221E-01,0.232041E-01,-9999.0,-9999.0,0.502032E-01,0.477703,0.161515E-01,0.413895,0.313448E-01,-9999.0,-9999.0
2,0.305176E-01,0.108120E-01,0.735695E-01,0.978900E-01,0.351185E-01,0.576868E-01,0.200291E-01,0.662807E-01,-9999.0,-9999.0,0.100390,0.672901,0.626401E-01,0.152739,0.620921E-01,-9999.0,-9999.0
2,0.354004E-01,0.125419E-01,0.186433,0.105135,0.527895E-01,0.189319,0.235778E-01,0.227204,-9999.0,-9999.0,0.192665,0.637397,0.248442,-0.190823,0.240887,-9999.0,-9999.0
3,0.415039E-01,0.147043E-01,0.496414,0.188498,0.580308E-01,0.464022,0.543465E-01,0.563291,-9999.0,-9999.0,0.277951,0.539833,0.304874,0.743104,0.291957,-9999.0,-9999.0
4,0.500488E-01,0.177317E-01,0.261713,0.812259E-01,0.509712E-01,0.111289,0.623031E-02,0.154315,-9999.0,-9999.0,0.216245,-0.380278,0.165389,0.466314E-01,0.165786,-9999.0,-9999.0
4,0.598145E-01,0.211915E-01,0.118954,0.618316E-01,0.424878E-01,0.620536E-01,0.170190E-01,0.602123E-01,-9999.0,-9999.0,0.134768,0.740762E-01,0.967385E-01,-0.305027E-01,0.883298E-01,-9999.0,-9999.0
5,0.708008E-01,0.250838E-01,0.283514,0.222971E-01,0.250717E-01,0.105429,0.688800E-02,0.137138,-9999.0,-9999.0,0.931577E-01,0.128153,0.504966E-01,0.942522E-01,0.638388E-01,-9999.0,-9999.0
6,0.842285E-01,0.298411E-01,0.974078E-01,0.579784E-01,0.679593E-01,0.133438,0.674637E-02,0.170672,-9999.0,-9999.0,0.123523,-0.105244,0.104748,0.352224E-02,0.936218E-01,-9999.0,-9999.0
7,0.100098,0.354633E-01,0.795010E-01,0.117251,0.673891E-01,0.530939E-01,0.109142E-01,0.766628E-01,-9999.0,-9999.0,0.139450,0.730649E-01,0.106807,0.247848,0.110046,-9999.0,-9999.0
8,0.118408,0.419505E-01,0.169408,0.285307E-01,0.668113E-01,0.742786E-01,0.944370E-02,0.994126E-01,-9999.0,-9999.0,0.181126,-0.199259,0.129840,-0.299882E-01,0.133824,-9999.0,-9999.0
