 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.533
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
7,0.100098,0.355751E-01,0.229075,0.197494,0.122415,0.319189,0.184441E-01,0.349895,-9999.0,-9999.0,0.381241,0.206684,0.495980,0.102243,0.500310,-9999.0,-9999.0
8,0.118408,0.420827E-01,0.866490E-01,0.163276,0.836610E-01,0.104257,0.812968E-02,0.118576,-9999.0,-9999.0,0.796416E-01,0.624302,0.826261E-01,-0.183997E-01,0.789441E-01,-9999.0,-9999.0
10,0.140381,0.498919E-01,0.103202,0.997814E-01,0.423453E-01,0.161007,0.184196E-01,0.158912,-9999.0,-9999.0,0.108844,-0.493955,0.495364E-01,0.800548E-01,0.441659E-01,-9999.0,-9999.0
12,0.167236,0.594364E-01,0.760750E-01,0.410358E-01,0.155044,0.726246E-01,0.182688E-01,0.777829E-01,-9999.0,-9999.0,0.215154,-0.757787E-01,0.226193,-0.221292E-01,0.215310,-9999.0,-9999.0
15,0.200195,0.711501E-01,0.742116E-01,0.946347E-01,0.689436E-01,0.102608,0.272765E-01,0.119594,-9999.0,-9999.0,0.106752,-0.321473E-01,0.913891E-01,0.104356,0.704146E-01,-9999.0,-9999.0
17,0.239258,0.850331E-01,0.154245,0.888257E-01,0.221697,0.190240,0.352625E-01,0.195491,-9999.0,-9999.0,0.412061,-1.00776,0.353242,0.605176,0.349855,-9999.0,-9999.0
20,0.284424,0.101085,0.106647,0.926046E-01,0.122646,0.111035,0.297253E-01,0.108070,-9999.0,-9999.0,0.164192,0.214549,0.149900,-0.403333E-01,0.138208,-9999.0,-9999.0
24,0.338135,0.120174,0.128877,0.215843,0.152581,0.104893,0.303572E-01,0.123877,-9999.0,-9999.0,0.207754,1.35203,0.264263,0.458317,0.266054,-9999.0,-9999.0
28,0.401611,0.142734,0.115197,0.150064,0.189933,0.135788,0.417101E-01,0.140608,-9999.0,-9999.0,0.186978,0.982148,0.172217,0.245526,0.151284,-9999.0,-9999.0
34,0.477295,0.169632,0.773375E-01,0.172513,0.212477,0.229807,0.866042E-01,0.240152,-9999.0,-9999.0,0.214987,0.783944,0.292755,0.499159,0.272575,-9999.0,-9999.0
41,0.568848,0.202170,0.709409E-01,0.116859,0.223594,0.139134,0.490516E-01,0.157184,-9999.0,-9999.0,0.144855,0.438018,0.151176,0.324245,0.143690,-9999.0,-9999.0
48,0.677490,0.240782,0.784660E-01,0.176485,0.269691,0.880206E-01,0.350654E-01,0.110154,-9999.0,-9999.0,0.220822,-0.149896,0.156769,0.355320,0.163133,-9999.0,-9999.0
57,0.805664,0.286336,0.699272E-01,0.138684,0.244023,0.958380E-01,0.446488E-01,0.126494,-9999.0,-9999.0,0.181513,-0.103050,0.210205,0.255827,0.225566,-9999.0,-9999.0
68,0.958252,0.340566,0.887990E-01,0.153297,0.224157,0.146088,0.722225E-01,0.179664,-9999.0,-9999.0,0.204072,0.713976,0.182617,0.382238,0.212446,-9999.0,-9999.0
81,1.14014,0.405209,0.708860E-01,0.129058,0.199874,0.109617,0.453767E-01,0.130016,-9999.0,-9999.0,0.174556,-0.561053,0.110774,0.117836,0.119149,-9999.0,-9999.0
97,1.35742,0.482433,0.524440E-01,0.112691,0.212158,0.103008,0.591505E-01,0.129894,-9999.0,-9999.0,0.131071,0.537005,0.131863,0.408918,0.173852,-9999.0,-9999.0
115,1.61621,0.574407,0.441257E-01,0.112023,0.175135,0.107431,0.603931E-01,0.123265,-9999.0,-9999.0,0.765781E-01,0.253774,0.126492,0.275009,0.107767,-9999.0,-9999.0
136,1.92261,0.683301,0.423669E-01,0.925092E-01,0.195968,0.806799E-01,0.108608,0.100524,-9999.0,-9999.0,0.929237E-01,0.194159,0.131086,0.419155,0.153131,-9999.0,-9999.0
163,2.28760,0.813020,0.368716E-01,0.103921,0.187823,0.837073E-01,0.690992E-01,0.108603,-9999.0,-9999.0,0.103328,-0.413961E-01,0.913276E-01,0.198086,0.112383,-9999.0,-9999.0
193,2.72217,0.967468,0.391873E-01,0.883608E-01,0.183506,0.886265E-01,0.741718E-01,0.958909E-01,-9999.0,-9999.0,0.904663E-01,0.246782,0.103587,0.210220,0.946967E-01,-9999.0,-9999.0
231,3.23975,1.15142,0.279788E-01,0.949858E-01,0.171806,0.776995E-01,0.690262E-01,0.874016E-01,-9999.0,-9999.0,0.414460E-01,0.101033,0.101114,0.251980,0.952261E-01,-9999.0,-9999.0
274,3.85620,1.37051,0.288890E-01,0.751670E-01,0.158601,0.691443E-01,0.756298E-01,0.697433E-01,-9999.0,-9999.0,0.581127E-01,0.266160E-01,0.932176E-01,0.151501,0.889788E-01,-9999.0,-9999.0
326,4.58862,1.63081,0.233821E-01,0.708660E-01,0.145201,0.780573E-01,0.183970,0.618917E-01,-9999.0,-9999.0,0.377544E-01,0.427925E-01,0.748517E-01,0.207353,0.710799E-01,-9999.0,-9999.0
388,5.46021,1.94058,0.219216E-01,0.530221E-01,0.148701,0.779975E-01,0.109833,0.634254E-01,-9999.0,-9999.0,0.389867E-01,0.494491E-01,0.677072E-01,0.114606,0.542539E-01,-9999.0,-9999.0
462,6.49780,2.30934,0.214389E-01,0.602774E-01,0.135425,0.676637E-01,0.963844E-01,0.520777E-01,-9999.0,-9999.0,0.348535E-01,0.313863E-01,0.561151E-01,0.102061,0.545794E-01,-9999.0,-9999.0
549,7.73193,2.74796,0.229692E-01,0.569899E-01,0.135836,0.859798E-01,0.110321,0.534449E-01,-9999.0,-9999.0,0.335886E-01,0.311497E-01,0.758545E-01,0.132825,0.485938E-01,-9999.0,-9999.0
655,9.20166,3.27030,0.233269E-01,0.565537E-01,0.154274,0.978720E-01,0.243758,0.588791E-01,-9999.0,-9999.0,0.326253E-01,-0.110359,0.313652E-01,0.461403E-01,0.469109E-01,-9999.0,-9999.0
