 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.453
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.880464E-03,0.204813,0.171910,0.187707E-02,0.303951E-01,0.666115,0.644166E-01,-9999.0,-9999.0,0.433478E-01,-0.377458,0.171825E-01,0.352968,0.246714E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.176093E-02,0.453562E-01,0.807359E-01,0.121284E-02,0.578855E-01,0.449676,0.919219E-01,-9999.0,-9999.0,-0.126633E-01,0.236187,0.101447E-01,-0.185339,-0.129186E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.264139E-02,0.660148E-01,0.231596E-01,0.398479E-03,0.209750,0.121812E-01,0.116075,-9999.0,-9999.0,0.495285E-03,0.652279E-01,0.150899E-01,-0.220025E-01,0.354890E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.352185E-02,0.185217E-01,0.652897E-02,0.320455E-01,0.261073E-01,0.616622E-01,0.416268E-01,-9999.0,-9999.0,0.391002E-01,-0.171377,-0.507134E-01,-0.189385,-0.255847E-01,-9999.0,-9999.0
1,0.122070E-01,0.440232E-02,0.466434E-02,0.401539E-01,0.251840E-01,0.212452E-01,0.152372,0.556994E-01,-9999.0,-9999.0,0.243659E-01,0.323725,0.245480E-01,0.380711,0.244575E-01,-9999.0,-9999.0
1,0.146484E-01,0.528278E-02,0.113273,0.151691E-01,0.208266E-01,0.241608,0.103253,0.285512,-9999.0,-9999.0,0.990848E-01,0.434081,0.132413,-0.144304,0.146012,-9999.0,-9999.0
1,0.170898E-01,0.616325E-02,0.108382,0.246567E-02,0.846246E-01,0.907310E-01,0.896242E-01,0.835940E-01,-9999.0,-9999.0,0.203672,0.172839,0.111808,-0.404759,0.142110,-9999.0,-9999.0
2,0.207520E-01,0.748394E-02,0.359892E-01,0.395035E-01,0.982150E-01,0.830004E-01,0.260267E-01,0.540394E-01,-9999.0,-9999.0,0.104555,0.571774E-01,0.204000,-0.222089,0.159513,-9999.0,-9999.0
2,0.256348E-01,0.924487E-02,0.886889E-01,0.349947E-01,0.749044E-01,0.122077,0.155597E-01,0.187628,-9999.0,-9999.0,0.147338,0.217460,0.146076,-0.184185,0.153910,-9999.0,-9999.0
2,0.305176E-01,0.110058E-01,0.198797,0.320613E-01,0.525110E-01,0.192079,0.383852E-01,0.198942,-9999.0,-9999.0,0.206503,0.185558,0.206663,0.349131,0.207400,-9999.0,-9999.0
2,0.354004E-01,0.127667E-01,0.181127,0.139021,0.116277E-01,0.276262,0.196096E-01,0.261753,-9999.0,-9999.0,0.499284E-01,-0.705445,0.639470E-01,0.103973,0.618552E-01,-9999.0,-9999.0
3,0.415039E-01,0.149679E-01,0.977697E-01,0.602284E-01,0.446897E-01,0.218411,0.251994E-02,0.209106,-9999.0,-9999.0,0.133971,0.807647,0.171717,0.530762E-01,0.168991,-9999.0,-9999.0
4,0.500488E-01,0.180495E-01,0.253218,0.379921E-01,0.188313,0.307683,0.239156E-02,0.298991,-9999.0,-9999.0,0.482681,-0.285517,0.518497,0.701711E-01,0.501848,-9999.0,-9999.0
4,0.598145E-01,0.215714E-01,0.886632E-01,0.418480E-01,0.130572,0.140789,0.423092E-02,0.141961,-9999.0,-9999.0,0.200416,0.193106,0.187184,-0.138506E-02,0.192566,-9999.0,-9999.0
5,0.708008E-01,0.255334E-01,0.130096,0.473171E-01,0.661016E-01,0.919213E-01,0.588784E-02,0.125280,-9999.0,-9999.0,0.194083,-0.271080,0.129236,0.130540,0.137815,-9999.0,-9999.0
6,0.842285E-01,0.303760E-01,0.812545E-01,0.177848E-01,0.160717,0.677522E-01,0.586191E-02,0.652519E-01,-9999.0,-9999.0,0.233438,0.896613E-01,0.203672,0.182715,0.188109,-9999.0,-9999.0
7,0.100098,0.360990E-01,0.104226,0.911336E-01,0.188389,0.206385,0.656606E-02,0.207987,-9999.0,-9999.0,0.265340,1.56855,0.361805,0.270654,0.347961,-9999.0,-9999.0
8,0.118408,0.427025E-01,0.114455,0.742099E-01,0.937190E-01,0.181456,0.513658E-02,0.180859,-9999.0,-9999.0,0.137437,0.695701,0.167010,0.892210E-01,0.161189,-9999.0,-9999.0
