 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.182
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.926524E-03,0.168567E-01,0.324884,0.176615E-03,0.247690,0.253603,0.108623,-9999.0,-9999.0,-0.373853E-02,-0.837471E-01,0.250553E-01,-0.906008E-01,0.142450E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.185305E-02,0.694383E-01,0.195110,0.349135E-03,0.273527,0.399209,0.134453,-9999.0,-9999.0,0.109286E-01,0.682969E-01,0.209292E-01,0.373425,0.117986E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.277957E-02,0.725955E-01,0.128591E-01,0.374670E-02,0.145427E-01,0.342886E-01,0.251838E-02,-9999.0,-9999.0,-0.655386E-02,0.934850E-02,-0.260291E-01,-0.357520,-0.580635E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.370609E-02,0.361707E-02,0.254788E-01,0.217259E-02,0.304171E-01,0.253839E-01,0.610717E-01,-9999.0,-9999.0,0.489362E-02,-0.318441E-01,0.170982E-01,-0.308906,0.265994E-01,-9999.0,-9999.0
1,0.122070E-01,0.463262E-02,0.129198,0.206127,0.211010E-01,0.134426,0.930007E-02,0.177680,-9999.0,-9999.0,0.912291E-01,0.859635,0.719830E-01,0.145225,0.831948E-01,-9999.0,-9999.0
1,0.146484E-01,0.555914E-02,0.489960,0.207322,0.729512E-01,0.175545,0.503296E-01,0.199832,-9999.0,-9999.0,0.414767,1.61414,0.384492,2.61680,0.373310,-9999.0,-9999.0
1,0.170898E-01,0.648567E-02,0.104329,0.400891E-01,0.394024E-01,0.159280,0.114578,0.202705,-9999.0,-9999.0,0.309685E-01,0.318915,0.215170,2.28244,0.167664,-9999.0,-9999.0
2,0.207520E-01,0.787545E-02,0.798397E-01,0.350707E-01,0.108197E-01,0.220271,0.669891E-01,0.254813,-9999.0,-9999.0,-0.387957E-01,0.701489E-01,-0.122667,-0.750389,-0.109147,-9999.0,-9999.0
2,0.256348E-01,0.972850E-02,0.161498,0.819022E-02,0.159074E-01,0.248518E-01,0.190173E-01,0.286915E-01,-9999.0,-9999.0,0.887520E-01,0.276832E-01,-0.370285E-01,0.167039,-0.356526E-01,-9999.0,-9999.0
2,0.305176E-01,0.115815E-01,0.229993,0.275327E-01,0.455127E-01,0.532661E-01,0.180308E-01,0.754440E-01,-9999.0,-9999.0,-0.897889E-01,0.116401,-0.182047,-0.878985,-0.187724,-9999.0,-9999.0
2,0.354004E-01,0.134346E-01,0.252779,0.169425E-01,0.552344E-01,0.616963,0.127737,0.747350,-9999.0,-9999.0,0.144207,-0.172125,0.409923,0.890977,0.391016,-9999.0,-9999.0
3,0.415039E-01,0.157509E-01,0.244418,0.500546E-01,0.641990E-01,0.323431,0.132110,0.378117,-9999.0,-9999.0,0.205812,-0.109351,0.214834,-0.622240,0.221664,-9999.0,-9999.0
4,0.500488E-01,0.189937E-01,0.134952,0.794578E-01,0.405232E-01,0.371912E-01,0.462383E-01,0.495720E-01,-9999.0,-9999.0,0.105542,0.493043,-0.432914E-01,0.774734E-02,-0.512335E-01,-9999.0,-9999.0
4,0.598145E-01,0.226998E-01,0.737443E-01,0.152144,0.315927E-01,0.183875,0.447319E-01,0.225302,-9999.0,-9999.0,0.724411E-01,-0.293696,0.201080,0.266209,0.197178,-9999.0,-9999.0
5,0.708008E-01,0.268692E-01,0.184787,0.203227,0.415925E-01,0.135563,0.273633E-01,0.176560,-9999.0,-9999.0,0.157033,0.624216,0.159141,0.470870,0.164078,-9999.0,-9999.0
6,0.842285E-01,0.319651E-01,0.118772,0.921421E-01,0.113432,0.179524,0.457880E-01,0.211582,-9999.0,-9999.0,0.227898,-0.202560E-01,0.337236,1.59447,0.314022,-9999.0,-9999.0
7,0.100098,0.379875E-01,0.173232,0.102993E-01,0.910388E-01,0.835968E-01,0.391899E-02,0.121853,-9999.0,-9999.0,0.214141,-0.677188E-01,0.256457,0.373630,0.265224,-9999.0,-9999.0
8,0.118408,0.449364E-01,0.730889E-01,0.402078E-01,0.445120E-01,0.743795E-01,0.900188E-02,0.973363E-01,-9999.0,-9999.0,0.667896E-01,-0.291936,0.129152,0.278880,0.120647,-9999.0,-9999.0
