"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
202401262200,202401262230,410.898,0.9132004,2.744539,0.1345624,-1.300477,7,26.89816,1,0.03882162,1,-31.91504,1,36.51496,103.0371,52.33338,39.56778,348.2386,4.297058,8.74367,0.2681871,0.02958191,0.0911961,1,55.57888,4.232722,1.045479,0,0.8453806,5.960464e-08,0.2902741,100.5308,0.4432356,43.05822,-10.68732,2.826488,36.64226,-10.57807,4.767952,3.067142,0.2963227,169.1075
202401262230,202401262300,411.1465,0.919925,2.898602,0.1212486,-1.248375,4,31.05199,3,0.04481122,3,-37.00068,3,40.46067,113.3059,57.83472,43.74337,350.4309,5.544946,8.962667,0.3609748,0.01406901,0.1652588,3,116.8618,5.53834,0.9387365,0,0.6541344,5.960464e-08,0.3458679,100.5146,0.3381236,45.80815,-9.996568,2.695692,39.03498,-9.887805,4.544258,2.949641,0.2298117,235.7194
202401262300,202401262330,411.5483,1.372989,2.9382,0.1120282,-0.5398745,3,31.45845,3,0.04540347,3,-40.86398,3,41.14021,115.2307,58.81095,44.48127,345.8212,6.010327,9.64184,0.3707904,0.01439942,0.1742272,3,114.1803,6.00769,0.8747102,0,0.6687429,0,0.3646522,100.4827,0.4548261,46.02369,-9.827995,2.827874,39.18496,-9.718414,4.576069,3.085381,0.2520717,232.8047
202401262330,202401270000,410.7067,1.496599,2.942901,0.1045568,-1.070231,3,32.65306,3,0.04711865,3,-39.48115,3,40.74366,113.912,58.20537,44.02692,341.1987,6.267149,9.923682,0.3950221,0.01147038,0.1978324,3,143.337,6.254327,0.9081586,0,0.7707531,0,0.3854774,100.455,0.2681897,46.71264,-9.809566,2.626897,39.79391,-9.700542,4.465315,2.884796,0.2255434,258.4314
202401270000,202401270030,409.9679,0.700997,2.895872,0.1085234,-0.9792835,4,28.92427,3,0.04173155,3,-30.4586,3,39.58486,110.7155,56.55639,42.779,346.0829,5.380674,8.267126,0.3549246,0.01211129,0.1598117,3,135.7518,5.373022,0.9102833,0,0.639926,5.960464e-08,0.3455252,100.4593,0.1080619,46.50484,-10.01346,2.464496,39.61346,-9.904667,4.426702,2.718062,0.1858124,253.6362
202401270030,202401270100,409.857,0.7567707,2.817101,0.127891,-1.268373,4,31.50939,3,0.04546735,3,-36.45492,3,39.9513,111.9822,57.12471,43.20466,350.1482,5.213065,8.198527,0.3486301,0.01537339,0.1541179,3,106.9465,5.169164,0.8809302,0,0.879919,5.960464e-08,0.3296839,100.4579,0.2467963,44.79425,-10.36525,2.604261,38.17094,-10.2568,4.579145,2.851119,0.245792,224.9418
202401270100,202401270130,409.2517,0.4746938,2.759235,0.1355756,-0.7795685,4,28.26876,3,0.04078895,3,-23.12528,3,38.35577,107.4828,54.83609,41.4744,328.7035,5.228215,8.989396,0.3011097,0.01481443,0.114993,1,110.9816,5.131294,1.070505,0,1.116519,-5.960464e-08,0.3378993,100.4574,0.1785781,44.10552,-10.62892,2.546428,37.55888,-10.52021,4.607594,2.788116,0.3478666,229.3278
202401270130,202401270200,409.1927,1.202362,2.809729,0.1084946,-1.265575,5,26.35584,5,0.03800014,5,-20.54464,5,39.74605,111.2867,56.80897,42.96794,340.7721,4.798052,8.535716,0.2962141,0.01377536,0.1116203,3,119.353,4.725896,0.8719403,0,0.9680263,5.960464e-08,0.3000886,100.4718,-0.6166402,47.60733,-10.39401,1.750822,40.47052,-10.28475,4.15061,1.996275,0.4312979,238.4271
202401270200,202401270230,408.5109,1.23156,2.797842,0.09682501,-1.131168,4,22.40765,3,0.03230505,3,-14.36051,3,39.69437,110.7515,56.66352,42.86471,355.1017,4.686023,8.163214,0.3115065,0.008139882,0.1234806,3,201.9845,4.627553,0.980239,0,0.8839632,0,0.2975407,100.4719,-0.7584622,47.85831,-10.44848,1.667504,40.51573,-10.33652,4.118499,1.911958,0.1637099,295.5074
202401270230,202401270300,408.167,0.877867,2.798974,0.1066602,-0.4677048,7,17.1933,3,0.02479265,3,-15.78587,3,36.15345,101.3328,51.6882,39.09348,3.668732,3.692342,7.69977,0.2655175,0.01487115,0.08962819,3,110.5584,3.586637,0.9070385,0,0.9740531,2.980232e-08,0.2634423,100.4574,-0.5153224,47.03558,-10.44531,1.884912,39.90659,-10.33464,4.226607,2.129542,0.1972353,228.8678
