"TOA5","36719","CR1000X","36719","CR1000X.Std.06.01","CPU:EasyFlux_DL_CR1000XOP_v3.cr1x","12308","Flux_Notes"
"TIMESTAMP","RECORD","UxUy_Cov","UxUz_Cov","UyUz_Cov","TsUx_Cov","TsUy_Cov","TsUz_Cov","USTAR_R","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","UV_Cov","UW_Cov","VW_Cov","UT_SONIC_Cov","VT_SONIC_Cov","WT_SONIC_Cov","UW_Cov_fc","VW_Cov_fc","WT_SONIC_Cov_fc","WT_SONIC_Cov_fc_SND","sonic_samples","diag_sonic_aggregate","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","UxCO2_Cov","UyCO2_Cov","UzCO2_Cov","UxH2O_Cov","UyH2O_Cov","UzH2O_Cov","UCO2_Cov","VCO2_Cov","WCO2_Cov","UH2O_Cov","VH2O_Cov","WH2O_Cov","WCO2_Cov_fc","WH2O_Cov_fc","CO2_E_WPL_fc","CO2_T_WPL_fc","H2O_E_WPL_fc","H2O_T_WPL_fc","CO2_samples","H2O_samples","diag_irga_aggregate","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","alpha","beta","gamma","height_measurement","height_canopy","surface_type_text","displacement_user","d","roughness_user","z0","z","MO_LENGTH","ZL","iteration_FreqFactor","latitude","longitude","altitude","UTC_OFFSET","separation_x_irga","separation_y_irga","separation_lat_dist_irga","separation_lag_dist_irga","separation_lag_scan_irga","MAX_LAG","lag_irga","FreqFactor_UW_VW","FreqFactor_WT_SONIC","FreqFactor_WCO2_WH2O","rho_d_amb","rho_a_amb","rho_d","rho_a","Cp","Lv","T_panel","V_batt","slowsequence_Tot","process_time","process_time_Max","buff_depth_Max"
"TS","RN","m2 s-2","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","deg C m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m2 s-2","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","deg C m s-1","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","samples","adimensional","samples","samples","samples","samples","samples","samples","samples","samples","mg m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","g m-2 s-1","mg m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","g m-2 s-1","mg m-2 s-1","g m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","samples","samples","adimensional","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","Decimal degrees","Decimal degrees","Decimal degrees","m","m","","m","m","m","m","m","m","adimensional","","Decimal degrees","Decimal degrees","m","","m","m","m","m","scans","","scans","adimensional","adimensional","adimensional","g m-3","kg m-3","g m-3","kg m-3","J kg-1 deg C-1","J g-1","deg C","V","samples","ms","ms","scans"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Max","Max"
"2024-01-26 10:00:00",23,-0.0002291678,-4.348732E-05,0.0001575276,-0.000225177,0.002217125,-0.0001898283,0.008205229,0.07676838,0.03351516,0,0.03880915,9.313226E-10,0.02395804,0.0001629828,4.580185E-05,4.934524E-05,0.002032243,0.0007332963,-0.0005784887,5.154112E-05,5.552851E-05,-0.0006539747,-0.0006687586,36000,0,0,0,0,0,0,0,0,0,-0.003483176,-0.01204121,-0.02532705,-8.36926E-05,-5.384604E-05,8.650514E-05,-0.01701917,0.0005952341,-0.02255163,-5.44207E-05,6.892058E-05,9.836324E-05,-0.02845814,0.0001241257,0.0001343263,-0.001799548,6.648814E-07,-8.907305E-06,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.73492,0,76.58815,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,0.07429315,22.1303,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.125306,1.130488,1.261911,1186.688,1.190607,1176.551,1.180471,1007.147,2447.354,20.26929,11.93997,360,22.55023,29.951,0
"2024-01-26 17:00:00",24,-0.003350735,0.003044486,-0.04628378,-0.01794434,-0.07984161,-0.0349741,0.2886869,4.102153,0.7801847,0,0.6895502,2.980232E-08,0.3582615,-0.108555,-0.07782057,-0.02982503,-0.05589023,-0.06313854,-0.02845481,-0.07852162,-0.03009371,-0.02878557,-0.02918925,15675,29,0,0,0,0,0,0,0,0,-1.621887,-0.8849335,-0.1260834,-0.01723719,-0.01487684,0.001141071,-1.848462,-0.05732012,0.09707475,-0.02179921,-0.005491607,0.00379205,0.1003049,0.003918231,0.003897084,-0.08280702,1.423957E-05,-0.0003025688,14604,14604,1044533,0,0,1071,0,1014,0,562,40,0,0,0,0,0,0,8,8,8,8,1,1,8,8,0,0,-6.911995,0,26.83991,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,58.26849,0.02821645,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.009009,1.011624,1.033275,1273.824,1.276678,1262.827,1.265681,1006.138,2493.469,0.3778821,11.83693,156,22.49503,31.036,0
"2024-01-26 17:30:00",25,-0.139807,0.03624147,-0.03790423,0.1842298,-0.01590008,0.0002746742,0.1957937,2.919101,0.6877943,0,0.7332304,-2.980232E-08,0.2794845,-0.230614,-0.02310103,-0.03059296,0.1506648,-0.1063949,-0.01318157,-0.02332958,-0.03089563,-0.01334496,-0.01353037,36000,0,0,0,0,0,0,0,0,0,-0.2622425,-0.01226708,0.01406233,-0.01336284,0.001619503,0.0007868703,-0.2306606,0.1212828,0.03472085,-0.01062294,0.008120165,0.001738841,0.03593947,0.00179987,0.001795306,-0.03848481,6.513687E-06,-0.0001396297,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.104098,0,30.19303,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,39.264,0.04187372,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.009893,1.012396,1.035098,1273.682,1.276524,1262.582,1.265423,1006.129,2493.437,0.4134644,11.77804,360,22.63879,29.94,0
"2024-01-26 18:00:00",26,0.154813,0.04428596,0.007757656,0.1472153,0.01500185,-0.01248487,0.1912234,3.466621,0.8918506,0,0.5397568,2.980232E-08,0.244305,-0.02846327,-0.03601196,-0.006343493,0.1399404,-0.04120281,-0.02778989,-0.03643813,-0.006418562,-0.02819867,-0.02861305,36000,0,0,0,0,0,0,0,0,0,0.1585057,0.265945,0.08073993,-0.0291006,-0.01300056,0.0003849338,0.2538306,0.1872643,0.05358952,-0.03162276,-0.001160597,0.003829068,0.05578071,0.003985632,0.00398532,-0.08129833,1.410343E-05,-0.0002877021,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.211693,0,21.98567,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,17.39158,0.09453595,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.011834,1.01471,1.040888,1271.611,1.274385,1260.53,1.263304,1006.081,2492.248,0.4724242,11.78055,360,22.56534,29.946,0
"2024-01-26 18:30:00",27,-0.526439,0.06871429,-0.1647357,0.5176733,-0.2294995,0.04123409,0.4162397,4.308862,0.9986933,0,1.365867,0,0.5359165,-0.4122294,-0.1020962,-0.1399779,0.2822936,-0.4922775,0.01814192,-0.1028183,-0.1409679,0.01830062,0.01771922,36000,0,0,0,0,0,0,0,0,0,-0.6278955,0.0592884,0.01869694,-0.0215417,-0.006131917,0.003188709,-0.4665535,0.4209258,0.05715551,-0.02063536,0.007874481,0.004897691,0.05862351,0.005023485,0.005030459,0.05048062,1.736901E-05,0.0001742979,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.704597,0,36.47314,2,0.5,"Grass",0,0.3558702,0,0.0242851,1.64413,-274.2675,-0.005994622,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.007073,1.008748,1.025684,1272.295,1.275007,1261.43,1.264143,1006.034,2492.626,0.6497174,11.76847,360,22.70885,31.156,0
"2024-01-26 19:00:00",28,-0.1931,0.0562433,-0.04882619,0.2104523,-0.04128444,-0.01258282,0.2810095,5.590795,1.080606,0,0.8701594,1.192093E-07,0.3903474,-0.4569432,-0.07730391,-0.01611792,0.1786958,-0.1147983,-0.03228144,-0.07801794,-0.0162668,-0.03266336,-0.03330165,36000,0,0,0,0,0,0,0,0,0,-0.06974131,-0.05064374,0.0694003,-0.03528428,0.006977066,0.002531512,-0.07528653,-0.0219028,0.07808487,-0.029894,0.01929857,0.005829454,0.08074336,0.006027925,0.006030268,-0.09482618,2.038626E-05,-0.0003205746,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.266666,0,21.2642,2,0.5,"Grass",0,0.3558702,0,0.0242851,1.64413,47.42113,0.03467083,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.009237,1.011831,1.034046,1272.842,1.275496,1261.783,1.264437,1005.99,2492.818,0.7896212,11.7378,360,22.69025,31.776,0
"2024-01-26 19:30:00",29,0.01457018,-0.03148649,-0.001510307,0.298375,-0.0181133,-0.01259036,0.3635423,6.086586,0.9821578,0,0.6660978,0,0.3593671,-0.1376806,-0.1301862,0.022773,0.2801086,-0.09489219,-0.04526505,-0.1312982,0.02296752,-0.04577341,-0.04679687,36000,0,0,0,0,0,0,0,0,0,-0.4332805,0.0741502,0.01693657,-0.04837112,-0.0006801146,0.003892609,-0.3945823,0.1840056,0.06295924,-0.04612773,0.0118907,0.009285684,0.06500152,0.009586894,0.009604191,-0.1333929,3.150149E-05,-0.0004375253,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.636348,0,15.03455,2,0.5,"Grass",0,0.3558702,0,0.0242851,1.64413,73.20472,0.02245934,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.008542,1.011231,1.032438,1272.76,1.275338,1261.668,1.264246,1005.933,2492.699,0.8378108,11.72145,360,22.94782,29.926,0
"2024-01-26 20:00:00",30,-0.2026016,0.08321251,-0.05345012,0.5340145,-0.1434183,0.0340098,0.2536441,4.506609,1.101816,0,0.8821999,5.960464E-08,0.3681749,-0.5239076,-0.05851283,-0.02674476,0.4365129,-0.340895,-0.01200461,-0.05900657,-0.02697044,-0.01213763,-0.01300221,36000,0,0,0,0,0,0,0,0,0,-0.2617243,0.1203012,0.03272986,-0.04585352,0.001740074,0.003280144,-0.1892828,0.2131003,0.05294808,-0.04094263,0.01953928,0.0076322,0.05463863,0.007875884,0.007885723,-0.0371671,2.524666E-05,-0.0001189929,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.042197,0,23.02916,2,0.5,"Grass",0,0.3558702,0,0.001210643,1.64413,93.59577,0.01756628,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.008438,1.011081,1.031928,1274.989,1.277509,1264.016,1.266536,1005.886,2493.743,0.8682657,11.7291,360,22.60838,28.98,0
