"TOA5","36719","CR1000X","36719","CR1000X.Std.06.01","CPU:EasyFlux_DL_CR1000XOP_v3.cr1x","12308","Flux_CSFormat"
"TIMESTAMP","RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","PA","VPD","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","FP_EQUATION"
"TS","RN","mg m-2 s-1","Grade","samples","W m-2","Grade","samples","W m-2","grade","samples","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","mg m-3","mg m-3","g m-3","g m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","m","m","m","m","m","%","authors"
"","","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-01-26 09:30:00",22,-0.1489035,9,36000,0.3563642,9,36000,-1.054762,9,36000,-2.959785,0.0003422215,9,0.0170235,0.05209317,0.002273045,20.1597,22.74634,-1.763363,0.539348,2.371119,22.5105,19.85534,-1.655052,0.5436677,2.738811,100.4084,21.95144,-0.01493157,0.04278291,0.07883168,0.04137877,0.01449857,0.03167822,23.02124,0.2122427,346,0.09199944,0.08023304,100.7255,28.96771,245.2745,0.6548457,839.5671,23.89765,3.98451,0.04758076,0.9629151,0.955833,252.7705,-15.54873,76.28337,-18.72105,"NAN",0,1.269667,29.2444,6.373362,3.226038,164.413,97.98626,"KormannMeixner"
"2024-01-26 10:00:00",23,-0.03012337,9,36000,0.2836073,9,36000,-0.7950924,9,36000,-2.803497,8.943499E-05,9,0.008704145,0.0768322,0.001601702,20.16925,22.36147,-1.986322,0.5305319,2.37252,22.68304,19.33883,-1.870744,0.5350754,2.767721,100.4279,22.32646,0.01749483,0.0376233,0.07336788,0.0343232,0.01429929,0.02469431,23.18581,0.2463765,346,0.08508439,0.07542525,76.58815,27.29161,269.4119,0.2435656,791.809,8.28702,3.919254,0.0348847,0.9656945,0.9578037,260.0081,-17.03106,83.78208,-18.71574,"NAN",0,6.281576,163.5293,24.399,15.47779,164.413,90.04486,"KormannMeixner"
"2024-01-26 17:00:00",24,0.02139497,7,14604,9.051046,7,14604,-37.17104,7,14604,-4.106822,0.1064322,4,0.2899843,0.1006581,0.6062595,0.7538152,55.51284,-7.099504,0.3608675,0.6527328,3.184337,47.26296,-6.987299,0.3639973,0.7740011,94.00501,4.100038,3.633631,0.8214232,1.83866,0.6488986,0.4936723,0.3416335,3.504642,1.078592,346,4.131439,4.072339,26.83991,9.687842,319.1601,7.592812,781.0944,6.126355,2.854043,0.07645462,0.9401978,0.936138,11.95267,-30.17572,-169.1094,-18.64031,"NAN",0,22.05245,62.35316,31.60059,23.89285,164.413,99.03542,"Kljun et al"
"2024-01-26 17:30:00",25,-0.000750035,7,36000,4.155946,7,36000,-17.22659,7,36000,-4.145046,0.04899018,2,0.1967599,0.06876591,0.5443996,0.7976117,55.267,-7.154254,0.359245,0.6502453,3.197853,46.98438,-7.041037,0.3623883,0.7721941,100.4987,4.098058,2.513078,0.8291219,1.462239,0.5693967,0.2596994,0.2777471,3.515518,0.4491672,346,3.003243,2.907528,30.19303,14.46041,315.807,5.694624,783.1895,1.065222,2.84155,0.03462083,0.9540244,0.9422682,17.82539,-29.88305,-163.7346,-18.63667,"NAN",0,20.29468,536.08,78.17091,49.25003,164.413,73.76917,"KormannMeixner"
"2024-01-26 18:00:00",26,-0.0215323,1,36000,9.251307,1,36000,-36.36681,1,36000,-3.930992,0.04674113,3,0.1923515,0.148754,0.5732099,1.296308,52.13873,-7.444232,0.3513291,0.6739625,3.700793,44.34811,-7.331301,0.3544006,0.8000308,100.51,4.456301,3.195649,0.862076,1.290192,0.5854005,0.3750962,0.2460712,4.01195,0.3852517,346,3.490511,3.446263,21.98567,9.119822,324.0143,7.399844,783.843,1.209426,2.773899,0.05304372,0.9557878,0.9448786,25.97221,-29.30746,-156.2357,-18.63136,"NAN",0,25.54938,893.6097,110.6135,67.37621,164.413,65.23935,"KormannMeixner"
"2024-01-26 18:30:00",27,0.1141346,5,36000,12.99942,5,36000,22.53478,8,36000,1.733522,0.2205687,4,0.4177091,-0.04242001,1.575093,1.185682,51.38446,-7.739024,0.3433936,0.6688223,3.540709,43.84134,-7.628633,0.3463357,0.7912596,100.5154,4.44924,3.453234,1.301417,2.552758,1.086834,0.3534063,0.5246836,3.844547,0.5193869,346,4.498496,4.294358,36.47314,17.25493,309.5269,8.563889,785.5532,0.9976858,2.712334,0.04407081,0.955462,0.9445196,34.04443,-28.53739,-148.7372,-18.62598,"NAN",0,24.91385,68.76608,35.4178,26.80665,164.413,99.85441,"Kljun et al"
"2024-01-26 19:00:00",28,-0.00805255,2,36000,14.2782,1,36000,-42.36005,1,36000,-2.966763,0.1007702,1,0.2823043,0.1179637,1.038629,1.063873,50.69497,-8.028228,0.3358275,0.6628648,3.459543,43.13369,-7.916167,0.338754,0.7866144,100.5065,4.478603,5.179032,1.193153,2.015487,0.7113025,0.610269,0.3843089,3.756592,0.4445961,346,5.638072,5.557387,21.2642,9.68984,324.7358,9.666386,784.9887,1.206102,2.653776,0.06538311,0.9553763,0.9442428,42.02747,-27.58995,-141.2383,-18.62071,"NAN",0,23.46564,66.45482,33.64861,25.43887,164.413,98.95899,"Kljun et al"
"2024-01-26 19:30:00",29,-0.05878722,3,36000,22.88514,3,36000,-59.51376,3,36000,-2.600541,0.1685137,3,0.3650917,0.1281784,0.7687323,1.106341,49.10699,-8.398726,0.3263077,0.6648895,3.510042,41.76187,-8.286657,0.3291596,0.7893737,100.5061,4.602141,5.838855,1.00841,1.568283,0.6404374,0.7034104,0.3322867,3.798804,0.4100638,346,6.082554,6.045778,15.03455,6.29833,330.9655,10.46749,786.0275,0.9804658,2.57815,0.06925194,0.9557779,0.9448729,49.91117,-26.48529,-133.739,-18.61549,"NAN",0,30.79713,86.72993,44.09627,33.34446,164.413,98.92884,"Kljun et al"
